Y_{1},Y_{2},Z_{1},Z_{2},Z_{3},Z_{4},\operatorname{re}{\left(Y_{12}\right)},\operatorname{im}{\left(Y_{12}\right)},\operatorname{re}{\left(Z_{5}\right)},\operatorname{im}{\left(Z_{5}\right)},\operatorname{re}{\left(Z_{6}\right)},\operatorname{im}{\left(Z_{6}\right)},\operatorname{re}{\left(Z_{7}\right)},\operatorname{im}{\left(Z_{7}\right)},v,\delta Y_{1},\delta Y_{2},\delta Z_{1},\delta Z_{2},\delta Z_{3},\delta Z_{4},\operatorname{re}{\left(\delta Y_{12}\right)},\operatorname{im}{\left(\delta Y_{12}\right)},\operatorname{re}{\left(\delta Z_{5}\right)},\operatorname{im}{\left(\delta Z_{5}\right)},\operatorname{re}{\left(\delta Z_{6}\right)},\operatorname{im}{\left(\delta Z_{6}\right)},\operatorname{re}{\left(\delta Z_{7}\right)},\operatorname{im}{\left(\delta Z_{7}\right)},\delta T_{1},\delta T_{2},\delta T_{CP},\delta T_{CB},\delta\Delta_{13},\delta\Delta_{33},\delta\Delta_{14},\delta\Delta_{24},\delta\Delta_{67},\delta\Delta_{78},m_1,m_2,m_3,m_4,m_5,m_6
-254150.338203549,34132.6388877711,8.39944273261779,-0.64972461282505,-1.11286177377844,4.2155273321341,-48094.0839103177,-48094.0839103177,-1.03147788628766,2.99221435520441,-1.58946671658132,-1.94742187720403,-8.01495296429017,7.00750837982478,246,-52931.9985937531,3249.07806863788,0.821652300356924,0,0,1.11478601341574,-19610.5924885785,-40419.5977505048,-0.435420680250378,0.033054370172571,-0.43255303468805,-0.793630722136424,0,0,4241501.89220523,-965006.161481183,3532485.78638309,0,-0.933535889029624,-1.19827114577213,0,0,-7.22519381117599,15.5081217322436,0,21.4398539356769,178.804626311301,757.78166085504,397.646480172457,0
-35768.2288453384,63749.2840389943,1.18210816462881,10.1386485458941,-2.10194630064597,11.7148861693282,46821.6741373929,46821.6741373929,-1.93522874265195,-7.44161843861559,1.54741470478528,-2.00211385626647,-2.4658720732421,-5.95647180970063,246,-73523.0017409133,-97005.0461983868,0.68975108178081,0,0,8.9827106327138,71394.2026163468,-56255.3206116235,-2.06645352491463,-6.6825733840615,1.56349539858628,-1.26169712170876,0,0,7667021.83655225,6516617.14633306,2565785.14337873,0,0.294701851088897,11.8879228716237,0,0,36.6586526776429,43.3332704663164,0,12.1898676796935,171.746402203925,793.293819371282,349.227410635491,0
-361727.174356492,-105667.822644846,11.9547615293969,6.91019454746782,3.52019973440329,12.223120248396,-57053.4524178761,-57053.4524178761,-9.60463247755932,0.123241071810897,-1.88556588068861,-3.03143901036744,9.62885173962579,-8.52446186753892,246,-196116.56157189,-141385.371303802,2.16310438227397,0,0,6.94383230193228,-70699.2385040598,-206320.793082202,-6.69895518429449,2.43007241393354,-0.988051342875592,-3.26888495898867,0,0,21476271.9835668,-12848313.3912516,16645182.0444812,0,7.92874782564532,9.71183339795488,0,0,-22.271407630278,-139.951118882745,0,29.0926265354156,243.062996310732,942.620213361426,719.186324042165,0
-234509.871685910,7720.91475953390,7.75034277499867,-6.38307143688703,-0.227473135872675,11.0469837971027,162475.219491570,162475.219491570,2.00206007705071,-1.65718376545273,5.36966156030040,-3.39144840860803,7.70077358793350,2.15038669097300,246,-175761.219633942,-101318.481429701,2.75394604839590,0,0,5.81306892656571,148720.708761264,-81926.8573155893,1.54558387764510,-1.98445820195070,2.70393136763168,-1.53998519239996,0,0,15184604.0896451,11305905.4794055,7719206.08793246,0,4.54355267519506,32.4742608301331,0,0,-7.58482028897501,-45.8512016884993,0,28.9487929679030,222.088124653222,907.868347458377,515.428955955226,0
-101079.406971054,-184058.601890769,3.34058453866924,-2.61011751390175,6.08551814449093,7.18141263547885,47501.7363874496,47501.7363874496,-4.30300295994221,4.02323180662267,1.56989015755997,2.35340427205974,-1.73846936278424,2.24711503478708,246,-61428.4671826937,-39096.6946525942,1.13226407182617,0,0,4.01407645892530,39657.0569685151,85399.9087271579,-3.12315403605052,2.65195863277829,0.804583923332779,1.98065226833380,0,0,3868648.20443004,3752512.09959862,-5312884.96124957,0,-5.97566046487930,-0.408330130838188,0,0,11.6175770284252,25.1381903607093,0,8.77531339823366,161.659814230021,702.071616719177,343.314349687945,0
-372897.312998399,-241801.742641513,12.3239246810232,-7.62409116567084,8.00900774579948,11.8750809089917,-223571.627035875,-223571.627035875,8.53469434855928,3.82889154486793,-7.38884351364514,1.50498215418357,12.5326092377476,8.39087266137283,246,-374604.229540070,-184787.107319878,5.56274053421825,0,0,10.2916025837757,-331316.122129544,25617.5049042059,7.80124949897521,6.44171188030054,-6.57935851249599,0.0764487003855321,0,0,28732673.2695726,-34650088.4179825,-2488431.69482861,0,-36.0645890811418,18.8284858265725,0,0,12.5451192203410,-120.197395643542,0,23.1260401039049,72.5746728805401,1064.74099955794,571.450934432490,0
-358085.558749100,216895.518066858,11.8344093710457,-8.76397046386850,-7.13556371606243,12.1938526254086,28496.4635385385,28496.4635385385,8.44057321995671,8.23603260154603,0.941782785991755,0.780791411086325,-7.71208955365818,6.13017405365598,246,-165546.107260465,-118230.885082107,1.43981565847653,0,0,10.5004876166803,32812.6102508374,-21809.8298000320,7.16592900546348,7.58342526921432,1.04644552761738,-0.211639220051260,0,0,19280314.7099223,5064580.80374323,5511191.64072895,0,0.598612080685518,-0.895523427495249,0,0,-114.384067600810,43.5180691967880,0,31.4265993426059,111.371371227251,890.265366649359,806.903686870715,0
-296049.967446270,302245.551106456,9.78418822943586,7.21247578595783,-9.95753444614285,6.35520999927389,47220.6312658792,47220.6312658792,-1.99175282050842,-4.48621728166700,1.56059988320045,-4.54346155608195,7.18466570623459,-7.71917736006329,246,-147041.624598419,-55777.7978196665,2.65425042746368,0,0,2.81041941529177,45860.1566929341,-90252.9522335078,-0.963695830407842,-2.50920150710061,0.678137659894095,-1.60897538506426,0,0,10528619.7006071,4692355.44126981,8204571.37340664,0,8.83783073665782,0.744370648893351,0,0,18.3518859075387,6.71485780734457,0,30.8297556763828,169.068560342977,883.316761547045,412.019528120117,0
-99787.7801691199,258887.996484830,3.29789742114878,-8.77517299488686,-8.53294322791807,12.1563675710821,-140109.491796153,-140109.491796153,4.67085031408440,-7.84899531659470,-4.63049414357040,1.65619105409719,7.11274836270347,3.81154357063654,246,-141271.708401534,-130959.634722765,1.73634138439182,0,0,8.69311621837638,-99223.5321168240,15087.1041728659,3.34554167416705,-6.32950046491933,-3.03349040028828,0.687179145887084,0,0,12034135.4278472,-5132297.20186589,2459017.22157841,0,-8.43087827748549,10.9535966708117,0,0,-89.8153757189452,15.6388638485134,0,26.4234799843873,152.094803733863,889.433908670322,349.858819587856,0
-107656.662030245,349894.446284113,3.55795697105708,-2.59664570567966,-11.5471678579299,9.93996160146286,-50108.7731270538,-50108.7731270538,-7.00487147016437,5.08757057702340,-1.65605040409326,-2.21226296414520,-7.44214319256174,3.88090345571654,246,-96315.7000639447,-58872.3047781549,1.64720388793993,0,0,6.43452072573253,22802.4376197147,-61267.4203630405,-4.75149267770694,3.99617156319012,0.361021961666579,-1.81424775192445,0,0,7746391.55122973,4745549.93864535,2789643.29357264,0,3.19686073201163,1.63930891892089,0,0,2.12128281041166,93.1633656505410,0,22.3660733896116,140.778716507593,790.640568540310,415.823721267902,0
-67777.3135477637,-168759.881185051,2.23997995729274,0.831699620205857,5.58404166480405,9.29341911047084,-13920.2129761657,-13920.2129761657,7.01878353165742,-1.68759063416407,-0.460050663499427,-0.577894065760319,5.27144912557786,-7.71773033573105,246,-25808.3026863195,-56682.0750278761,-0.194641793510239,0,0,5.11600158895161,19294.9089637663,5696.60446120952,4.07390024035762,-1.09359103915919,0.0905248576372272,-0.0275236441496713,0,0,3043461.80918616,3033772.05885006,-3058052.60267095,0,-2.72554764365623,1.58185082384625,0,0,53.3384254800818,20.0651515759000,0,14.2144823539211,215.697599068712,708.065386772294,387.913952846447,0
-156604.536909866,-363213.556849235,5.17564072013570,-11.4395449521873,12.0092395773230,3.99007741425676,40780.8939892950,40780.8939892950,-1.30806863089313,0.970214532811946,1.34777229127157,0.350758609868983,3.79453151491159,-6.04031464080736,246,-51368.5408503144,-16586.2361655133,1.48905042324677,0,0,0.602560850627977,22302.9669705719,-12454.4361948376,-0.489860170208828,0.378170291966315,0.525890915659597,-0.524917160315705,0,0,1448490.15073512,835048.758014850,-337396.215102436,0,0.196240656195423,-0.905637094600385,0,0,-1.36486568766166,-0.0637090476385147,0,12.7284830755078,226.103810889609,586.245793342758,400.236884448219,0
-365161.822243392,-309873.358829217,12.0682735885846,-7.42375834635209,10.2533779044698,11.2766842903901,-70232.1257024678,-70232.1257024678,6.15887307094846,-3.43102554384376,-2.32110931662594,-2.20127478115562,4.73517354661452,-1.62301380180502,246,-172450.312512822,-104451.180585368,2.24615328994003,0,0,6.06604265862382,-64040.0311297086,-60380.9088871813,5.73772899643803,-1.31778703743686,-1.07483520400805,-0.809090372677834,0,0,15529631.3067126,-3954871.62114769,7177817.91469919,0,-14.9028691512739,16.0693061791680,0,0,-27.2849320650319,-8.07937592106639,0,19.3222618818039,291.481227981659,900.478549558299,719.490963203970,0
-183146.497295746,-187726.600828253,6.05282891452660,10.8561235855861,6.23331934093346,11.4156915652617,-40155.9531072782,-40155.9531072782,2.96183846179955,-2.84515249612125,-1.32711855070653,-2.58652109339929,-7.05700378314562,-4.67393904968564,246,-72667.5022026372,-84551.5809976805,0.842225478628027,0,0,4.26681767841355,-37349.9270428701,-49494.2390070765,2.74991961803773,-0.611708765990257,-0.543734934069759,-0.982827516182127,0,0,7654053.66232190,-1575477.29596089,3158321.92518431,0,-13.3668378757550,27.6202420269637,0,0,13.7186454024373,21.1791513289631,0,29.6846052645453,323.234788778905,701.431866752437,679.999959236426,0
