omega,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8
123.0,-204.8839515545342,-141.931558126518,138.7228358397392,221.8911181281591,-228.85543616568629,-228.85543616568629,133.67051229082927,133.67051229082932
124.24242424242425,-203.4377909415445,-137.68238725470053,141.05538523879332,224.85069198865645,-227.51099578595765,-227.51099578595765,135.34128765183289,135.34128765183297
125.48484848484848,-201.99327469160446,-133.41816727989968,143.3791533102751,227.93497079078824,-226.17474316230602,-226.17474316230602,136.7789433012198,136.77894330121984
126.72727272727273,-200.54841427877307,-129.09320171695532,145.7120362296565,231.18268342005973,-224.83526226492484,-224.8352622649248,138.0761127324733,138.07611273247332
127.96969696969697,-199.1014711587338,-124.65659831780036,148.06884298477726,234.65728148304638,-223.48369960138828,-223.48369960138828,139.28504560735445,139.28504560735445
129.21212121212122,-197.65081310778893,-120.03970509239504,150.46301015486384,238.4721806464357,-222.11208984317233,-222.11208984317233,140.43767798634389,140.43767798634394
130.45454545454547,-196.1947804448162,-115.12873343948549,152.90847447872005,242.85532364930106,-220.71216230477532,-220.7121623047753,141.554872982474,141.554872982474
131.6969696969697,-194.7314814040438,-109.6857134158005,155.423225850598,248.34998303978108,-219.27412377685724,-219.27412377685715,142.65112913888274,142.6511291388828
132.93939393939394,-193.25820259884662,-103.0318616899009,158.04102030097167,256.6700372764986,-217.78496172923903,-217.78496172923897,143.73722661653906,143.73722661653906
134.1818181818182,-191.7678411843105,-91.75649500845186,160.88202642995617,277.647382207364,-216.22551643852637,-216.22551643852634,144.82193185620858,144.8219318562086
135.42424242424244,-225.53195965023903,-189.84413944119632,112.69569622621756,166.8158667193543,-214.56460399134994,-214.56460399134994,145.91342199204482,145.91342199204485
136.66666666666666,-188.81818602241097,-106.21983515639442,165.13359880846417,227.97402098910223,-212.7454032066107,-212.74540320661066,147.02115627807382,147.02115627807385
137.9090909090909,-187.28184374370352,-95.0603769991046,168.3815710802365,242.14771973169698,-210.64773059976173,-210.6477305997617,148.1600007394142,148.16000073941424
139.15151515151516,-185.73169608704833,-87.17189890049063,171.51423875378853,249.72334367636643,-207.95098759653231,-207.95098759653231,149.36454722822128,149.36454722822128
140.3939393939394,-184.15312259656966,-79.64077841439018,174.81165843759615,255.57631823618982,-203.31068999845715,-203.31068999845712,150.7769623610986,150.77696236109867
141.63636363636363,-182.5236571528264,-71.54522091798594,178.78445376164427,260.896618551142,-160.1901552053053,-160.190155205304,157.04903320433016,157.04903320433033
142.87878787878788,-180.8472290750205,-64.21715699920968,173.93422347755265,265.77797414813375,-211.7432040376361,-211.74320403763602,151.78615722400363,151.78615722400366
144.12121212121212,-179.16568952361908,-53.343624532756834,178.14967180270875,271.03632504038774,-200.7835021515443,-200.78350215154427,153.49408745871685,153.49408745871688
145.36363636363637,-177.47249684007647,-38.64037703368585,182.03917844542985,276.4935199013124,-423.51443108124585,-423.514431081125,152.2039458873542,152.20394588735465
146.6060606060606,-175.74246508615684,1.4114797992121588,185.85336747257108,282.38231534510214,-215.54178230137586,-215.54178230137583,155.60994882303663,155.60994882303663
147.84848484848484,-173.94978053166963,41.62238023944781,189.6672573772632,288.9966508068512,-209.25474475353715,-209.25474475353712,156.93339179416964,156.93339179416964
149.0909090909091,-172.05697591565348,62.06472108356051,193.5293264295193,296.8043830186303,-206.0299642681585,-206.02996426815847,158.19728394579974,158.1972839457998
150.33333333333334,-170.00022877807504,81.54126810830482,197.50489285527823,306.6712957822126,-203.62884241114273,-203.6288424111427,159.45268979567985,159.45268979567987
