omega,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8
0.0,-279.5671076450512,-279.5671076450512,108.42628829515344,108.42628829515357,-279.56710764505124,-279.56710764505124,108.42628829515351,108.4262882951537
25.894736842105264,-275.7777717636163,-273.9854333739303,108.52064140318426,113.47930146947976,-277.39761042370856,-277.39761042370856,109.65781488015196,109.65781488015197
51.78947368421053,-264.72692603784196,-256.6079575820667,109.3391159277207,127.66638576398034,-270.69618516994416,-270.6961851699441,113.25473391109442,113.25473391109446
77.6842105263158,-245.92386630298006,-225.03222554339192,113.63216253142625,152.46858012752108,-259.1468892270565,-259.1468892270564,119.8213877031302,119.82138770313031
103.57894736842105,-226.752875080472,-168.1980852739479,137.63041321987237,182.2369158818259,-240.83508265743535,-240.8350826574353,131.5546071866508,131.55460718665086
129.47368421052633,-197.34478460141358,-119.03550023833333,150.97307509618722,239.33649318572233,-221.82001805232343,-221.8200180523234,140.67526202654082,140.67526202654085
155.3684210526316,-149.32456536500808,206.78219162664263,510.4896295305105,822.6269814667066,-196.07292289962916,-196.07292289962913,164.63466507739923,164.63466507739923
181.26315789473685,-138.97232104755494,24.819102279833476,286.1946350929329,345.95094361459405,-160.4205281211677,-160.42052812116768,196.59440773027342,196.59440773027347
207.1578947368421,-110.30035279012688,81.1780881570738,342.40216053804664,383.95510466113245,-130.94706887344512,-130.9470688734451,183.9822427097004,183.98224270970042
233.05263157894737,-63.60627621717026,106.92229108986277,419.41349869859295,470.2885014304116,-68.9356120524235,-68.9356120524235,270.59773886268664,270.59773886268664
258.94736842105266,59.12041858216702,127.91056302381602,482.76043474231363,539.7014296483817,62.472667522521206,62.47266752252125,317.91245047311224,317.91245047311224
284.8421052631579,106.03343078022539,148.55304447443513,546.3723697333636,607.5102997808079,108.77708091271991,108.77708091271998,365.4763384922997,365.47633849229993
310.7368421052632,140.2841526452724,171.02623715249808,608.4909743393058,674.3245590448425,139.9526831138627,139.95268311386286,412.9848989889501,412.98489898895014
336.63157894736844,171.29792060983158,194.4305916826528,669.0166084880954,741.2975991804306,165.92891661782912,165.9289166178292,460.2152385300305,460.21523853003055
362.5263157894737,190.7880065470952,216.69929664752888,730.3093191722656,807.8596571541465,189.4641027229522,189.46410272295225,507.11331939723283,507.11331939723294
388.42105263157896,209.96450521302768,240.67355917497017,791.2883056454637,873.753525831437,211.71253211586546,211.71253211586557,553.6962833199552,553.6962833199553
414.3157894736842,229.68687408641654,265.1329435811289,851.8298441813763,939.4528128173154,233.24370101897293,233.24370101897304,600.0048544184978,600.004854418498
440.2105263157895,249.60961457768832,289.69610917593354,912.0910366620876,1005.0473898311926,254.36682671921213,254.36682671921236,646.0838438487756,646.0838438487757
466.10526315789474,269.66639954070115,314.2832873278288,972.1596869361578,1070.5758126826893,275.26098636165347,275.2609863616536,691.9748931120836,691.9748931120836
492.0,289.8458331446392,338.8912720852268,1032.089688443237,1136.0650319927372,296.0348054900807,296.0348054900807,737.7142664160764,737.7142664160764
