omega,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8
0.0,-381.4328420865962,-381.4328420865962,-122.70366725565897,-122.7036672556589,-381.4328420865962,-381.4328420865962,-122.70366725565897,-122.7036672556589
16.96551724137931,-379.9108632833279,-379.4485242719381,-122.42230594301621,-121.9085345640186,-380.66309415232564,-380.6630941523256,-122.40732674926255,-122.4073267492624
33.93103448275862,-375.3131138695249,-373.4355689791927,-121.55605827712442,-119.43290075578552,-378.2431673662263,-378.2431673662263,-121.81524392125033,-121.81524392125029
50.89655172413793,-367.5366629676373,-363.21460306666893,-119.96502956021367,-115.0967985362655,-374.1306952989528,-374.13069529895273,-120.91151504675103,-120.91151504675095
67.86206896551724,-356.4008675652585,-348.46117619955726,-117.36460432069319,-108.5262141969326,-368.2492599217813,-368.24925992178123,-119.66728096905018,-119.66728096905011
84.82758620689654,-341.63171403938384,-328.65855923663395,-113.2063040257855,-98.9653665488248,-360.47784271361945,-360.4778427136194,-118.03500429490767,-118.03500429490764
101.79310344827586,-322.8274596206399,-302.9952410332365,-106.33926281102482,-84.68607947268532,-350.6283049980198,-350.62830499801976,-115.93607840088758,-115.93607840088757
118.75862068965517,-299.3031161459683,-269.9871235220405,-93.69201531078969,-60.05272530311144,-338.3843484107025,-338.3843484107024,-113.22892286442105,-113.22892286442094
135.72413793103448,-259.41845136810934,-111.04862058049343,-63.46807547130399,228.74074681001227,-322.419384463796,-322.419384463796,-109.58663070224067,-109.58663070224061
152.68965517241378,-241.12043523482268,-197.38678524199742,85.34368151537598,112.71906595244468,-316.06369228294596,-316.06369228294596,-104.22412980089133,-104.22412980089128
169.65517241379308,-210.3589212725731,-145.28808900709453,88.43413421566116,208.2372115630445,-288.16086764622355,-288.1608676462235,-97.61623613735966,-97.61623613735959
186.6206896551724,-191.86734704446172,-146.71025190532436,185.3069425503042,225.17537174812568,-257.6834176360144,-257.6834176360144,-77.41097866420446,-77.41097866420444
203.58620689655172,-161.6641841185023,-119.37576405699059,250.24214914409242,307.49792584052085,-229.30307675842027,-229.30307675842027,-86.9383003865529,-86.93830038655278
220.55172413793102,-135.07724283481855,-91.66572784210024,307.17858290518615,373.6793738693525,-185.675021413539,-185.67502141353899,-68.01388449351934,-68.01388449351931
237.51724137931035,-104.11792002562898,-54.0017997173261,363.4880364120287,437.4986776097738,-121.89315667994165,-121.89315667994163,-43.7255667428114,-43.72556674281139
254.48275862068965,-106.71518541717427,49.29527804968019,401.2802633392443,473.82661181939966,62.74679857616305,62.74679857616309,153.07016664207947,153.0701666420795
271.44827586206895,-72.33732097399746,90.90691606097927,455.9446374358055,534.6433681943417,52.363254354393106,52.36325435439312,167.1146413893129,167.11464138931296
288.41379310344826,13.73742519614041,119.16405664246277,487.4118617808465,574.5403149417899,87.24717239016432,87.24717239016432,234.3674147515313,234.36741475153136
305.37931034482756,76.12188586718248,145.4756732510867,545.9738237895099,634.1950144705418,120.57422969944342,120.57422969944356,539.5785503873585,539.5785503873587
322.34482758620686,107.27419653192918,168.7265412306212,593.0283942638099,685.6968909499271,128.17498890238008,128.17498890238014,317.8071739367468,317.80717393674684
339.31034482758616,132.23087372904428,190.5510989840979,638.5336705198674,735.7148927521699,147.00203282780578,147.00203282780586,364.030775952977,364.03077595297714
356.2758620689655,154.2374430147821,211.46330902584356,683.2182981072929,784.9188361447209,164.50254223749906,164.5025422374991,405.37580513212686,405.3758051321269
373.2413793103448,174.6450916274204,231.80017735728626,727.5940220178646,833.7327518451629,181.29074793226013,181.29074793226025,444.43688120507835,444.4368812050786
390.2068965517241,192.07612249656788,250.97355314705442,767.7727041928466,879.798052528023,197.64050770659773,197.64050770659784,481.969524828491,481.969524828491
407.17241379310343,210.5528015827785,270.46509009634883,811.0551418087289,927.6892264208793,213.60602392089,213.60602392089007,518.2554654650475,518.2554654650475
424.13793103448273,228.32089628067922,289.67638905171873,853.8137088477548,975.1592781093824,229.30026272041985,229.30026272041988,553.6773920743054,553.6773920743055
441.10344827586204,245.5968222005718,308.688490342702,896.2195524373723,1022.3334947834837,244.79020160506658,244.79020160506678,588.4144702725674,588.4144702725674
458.06896551724134,262.5025504201224,327.5523537116867,938.3470431990203,1069.2733945359525,260.1221035360864,260.1221035360865,622.5932246624636,622.5932246624636
475.0344827586207,279.1205012844233,346.30496085816833,980.2444832901424,1116.021075236317,275.33002423826366,275.3300242382638,656.309054220029,656.309054220029
492.0,295.5100703437136,364.9743348776753,1021.9476955924166,1162.6084667538053,290.43987228856713,290.4398722885672,689.6362295214301,689.6362295214302
