omega,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8
0.0,-270.27629191308125,-270.2762919130812,111.95210569830795,111.95210569830796,-270.27629191308125,-270.2762919130812,111.95210569830795,111.95210569830796
4.96969696969697,-270.1317292591819,-270.06311803205756,111.98916731699379,112.15455477645762,-270.1868641830805,-270.1868641830805,112.01199175540509,112.01199175540509
9.93939393939394,-269.69816867116873,-269.42280730061793,112.10062342155655,112.76132770436477,-269.91849252339085,-269.91849252339085,112.19167297890677,112.19167297890678
14.90909090909091,-268.9760025669741,-268.35297954302314,112.28729768034867,113.77075319926116,-269.47091174117656,-269.4709117411765,112.49122078615633,112.49122078615639
19.87878787878788,-267.96591945152136,-266.84962436096373,112.55059654067912,115.1802122880591,-268.8436805891741,-268.8436805891741,112.91076171720064,112.91076171720069
24.848484848484848,-266.66895613267593,-264.90703455169165,112.89256184899371,116.98636925593992,-268.0361829477945,-268.0361829477945,113.45048861678384,113.45048861678387
29.81818181818182,-265.08657172214924,-262.5177100033487,113.31594895633013,119.18546033116807,-267.0476296246521,-267.047629624652,114.11067612410648,114.11067612410653
34.78787878787879,-263.2207440539287,-259.6722290844,113.82433522925076,121.77361156336613,-265.87706092261675,-265.87706092261675,114.89170031490187,114.89170031490191
39.75757575757576,-261.0740889199753,-256.35908357807705,114.42226604505875,124.74715617076917,-264.5233501800465,-264.52335018004646,115.79406230793495,115.79406230793502
44.72727272727273,-258.6500019249948,-252.56447220532354,115.11544819115802,128.10292330817668,-262.9852085466005,-262.9852085466005,116.81841562163281,116.81841562163281
49.696969696969695,-255.95282166683245,-248.2720467944767,115.91100441012584,131.83847376992503,-261.26119132662313,-261.26119132662313,117.96559704447816,117.96559704447817
54.666666666666664,-252.98801121239015,-243.46260434379514,116.81780804094873,135.95226257777517,-259.3497063011226,-259.3497063011225,119.23666076165368,119.2366607616537
59.63636363636364,-249.76235232775508,-238.11371789704978,117.84692384986342,140.4437129524136,-257.24902453021997,-257.2490245302199,120.63291545499185,120.63291545499186
64.60606060606061,-246.2841435558594,-232.19929992216422,119.01219092940974,145.31319049524666,-254.95729424149602,-254.957294241496,122.1559640563231,122.15596405632313
69.57575757575758,-242.56338905706573,-225.68909488806133,120.33099681120754,150.56187064150342,-252.47255852591834,-252.4725585259183,123.80774577636382,123.80774577636383
74.54545454545455,-238.61196039202287,-218.54810503966704,121.82530947559121,156.19149709127683,-249.79277769044808,-249.79277769044808,125.59057994045844,125.59057994045848
79.51515151515152,-234.44370870100929,-210.7359685802243,123.52305590365822,162.2040346844854,-246.9158572509976,-246.91585725099756,127.50721102427407,127.5072110242741
84.48484848484848,-230.0745009799803,-202.20633853928075,125.45996015041102,168.60122769655172,-243.83968268328368,-243.83968268328368,129.56085407967174,129.56085407967174
89.45454545454545,-225.52215271198233,-192.90636237157753,127.68197248400968,175.38408404033424,-240.5621621686695,-240.5621621686695,131.75523945355485,131.75523945355485
94.42424242424242,-220.80623153173016,-182.77644667387537,130.24841080804924,182.5523168789449,-237.08127865534584,-237.08127865534584,134.09465530860655,134.09465530860655
99.39393939393939,-215.94771423751487,-171.75060776120304,133.23583940548505,190.10378620934077,-233.39515256850817,-233.39515256850817,136.58398593207204,136.58398593207204
104.36363636363636,-210.96849287895014,-159.75780295473095,136.74240274832204,198.03399161145833,-229.50211639715897,-229.50211639715897,139.22874314730564,139.2287431473057
109.33333333333333,-205.89074395745726,-146.72446634348168,140.8915764063824,206.3356705628888,-225.4008020903382,-225.4008020903382,142.0350873108904,142.0350873108904
114.3030303030303,-200.73619527040762,-132.57723874537885,145.83276174507972,214.99855183546208,-221.09024161845633,-221.09024161845633,145.00983339086372,145.00983339086372
119.27272727272728,-195.5253433237135,-117.24037038237242,151.73375640356238,224.0092993776376,-216.56998007668608,-216.56998007668605,148.16043651428052,148.16043651428055
124.24242424242425,-190.27668571737917,-100.60893742438323,158.75823750366374,233.35166007193797,-211.84019918512254,-211.84019918512254,151.49495022897204,151.49495022897204
129.21212121212122,-185.0060337469349,-82.44120838526065,167.0245546250156,243.00680277816966,-206.90184682244129,-206.90184682244129,155.02194970028185,155.02194970028185
134.1818181818182,-179.72595953630218,-61.97277852538215,176.5559918390927,252.9538117145103,-201.75676518065617,-201.75676518065615,158.75041140925813,158.75041140925813
139.15151515151516,-174.44541143526263,-35.93040706822994,187.25127819711054,263.17027990652474,-196.40780617684516,-196.40780617684516,162.68954099636233,162.68954099636233
144.12121212121212,-169.16950586270647,29.300800026862575,198.9020763351073,273.63294153678834,-190.858917965349,-190.858917965349,166.8485421726015,166.8485421726015
149.0909090909091,-163.89947883383624,51.46336753298281,211.2502426291571,284.31828588542754,-185.1151810411695,-185.1151810411695,171.23632262399605,171.23632262399605
154.06060606060606,-158.63276065274968,64.31573764551693,224.04835920502921,295.2031076709261,-179.18276708624913,-179.1827670862491,175.86113803250598,175.861138032506
159.03030303030303,-153.3631249845301,73.3634114417255,237.09534381151067,306.2649649056425,-173.06878927017428,-173.06878927017428,180.73018293638452,180.73018293638452
164.0,-148.08085850975806,80.23861027341313,250.2449761829954,317.48253176127724,-166.78101025553406,-166.78101025553406,185.84914684188507,185.84914684188507
168.96969696969697,-142.77289740853377,85.71854302501872,263.39894079479313,328.83584741416047,-160.3273746190468,-160.3273746190468,191.2217646799501,191.22176467995016
173.93939393939394,-137.4228787396185,90.24480314696002,276.4951293182348,340.306471007208,-153.71533599672014,-153.7153359967201,196.8494003815956,196.84940038159561
178.9090909090909,-132.0110546960263,94.09239096270875,289.49672363982177,351.8775577183918,-146.9509546680311,-146.9509546680311,202.7307083365495,202.73070833654958
183.87878787878788,-126.51401179773742,97.4425984877947,302.3837713373395,363.5338723291611,-140.03774476070174,-140.0377447607017,208.8614170618741,208.8614170618741
188.84848484848484,-120.90412052780084,100.41984749081105,315.1472314748375,375.26175581845877,-132.9752448100921,-132.9752448100921,215.23427075218515,215.23427075218515
193.8181818181818,-115.14860642207923,103.11222373398351,327.7849497131919,387.0490584566224,-125.75725998174721,-125.75725998174721,221.83914768674444,221.83914768674444
198.78787878787878,-109.2080678633376,105.58369504277255,340.2990001376397,398.885050437748,-118.36966178232724,-118.36966178232717,228.66335236089645,228.6633523608965
203.75757575757575,-103.03414182668487,107.88173133133186,352.69395196905197,410.7603187473321,-110.78750262844957,-110.78750262844957,235.69205530768164,235.69205530768164
208.72727272727272,-96.56577783555531,110.04223302707211,364.9757489443124,422.66665693379764,-102.97095073656862,-102.97095073656862,242.90883608054702,242.90883608054702
213.6969696969697,-89.72308490711818,112.09281499216235,377.15099097545567,434.5969527910778,-94.85904294433122,-94.85904294433122,250.2962747874675,250.2962747874675
218.66666666666666,-82.39661473226167,114.05505120842983,389.2264792705481,446.54507763376324,-86.35914683844533,-86.3591468384453,257.8365374039179,257.8365374039179
223.63636363636363,-74.42723041759923,115.94604436171326,401.2089340009346,458.505779797047,-77.32732863329686,-77.32732863329686,265.5119085931958,265.5119085931958
228.6060606060606,-65.56403688035277,117.77954672802103,413.10482497727355,470.47458416295456,-67.52722928980627,-67.52722928980626,273.30523972312113,273.3052397231212
233.57575757575756,-55.361468601854014,119.56677721924083,424.92027620501796,482.44769885646696,-56.52892889415971,-56.528928894159705,281.20029537616705,281.2002953761671
238.54545454545456,-42.852917425903975,121.317029774954,436.661018475629,494.42192973744176,-43.386540860649625,-43.386540860649625,289.1819957027004,289.1819957027004
243.51515151515153,-24.72859627954506,123.03813737225808,448.3323728449312,506.3946029132098,-24.82944952745423,-24.829449527453963,297.2365625347164,297.2365625347164
248.4848484848485,24.720250065619947,124.73683643965978,459.9392535833544,518.3634951945274,24.62133569812358,24.62133569812364,305.35158366182674,305.3515836618268
253.45454545454547,42.80864695198251,126.41906421584326,471.48618299350767,530.326772198845,42.3051587705711,42.305158770571225,313.51601246239784,313.5160124623979
258.42424242424244,55.262308195432645,128.09021418769555,482.97731304205087,542.2829336558362,54.20227865617941,54.20227865617941,321.7201200886213,321.7201200886213
263.3939393939394,65.38997661165868,129.75537085406958,494.4164504713375,554.2307653777033,63.67371480897908,63.673714808979106,329.95541564894836,329.95541564894836
268.3636363636364,74.15415028410862,131.4195440929501,505.80708321830747,566.1692973090044,71.71138936935604,71.7113893693561,338.2145472041404,338.2145472041404
273.3333333333333,81.99436052351707,133.08792531663374,517.1524067548535,578.097767056773,78.77582480930522,78.77582480930523,346.4911935437773,346.49119354377734
278.3030303030303,89.15373891887437,134.76619284152224,528.4553494958157,590.0155883123225,85.12711611808702,85.12711611808706,354.77995404340595,354.77995404340595
283.27272727272725,95.7818074907019,136.46090340538245,539.7185967785933,601.9223236034995,90.92985103314098,90.92985103314098,363.0762416248316,363.0762416248316
288.24242424242425,101.97620010773808,138.18002171036343,550.9446131569307,613.8176608542366,96.29625776787374,96.29625776787378,371.3761820213803,371.37618202138043
293.2121212121212,107.80219768516174,139.9336606234978,562.1356629081281,625.7013932721525,101.30700536449372,101.30700536449373,379.6765211707955,379.6765211707956
298.1818181818182,113.30253090725203,141.73512705039775,573.2938287535741,637.5734021312649,106.02238836379951,106.02238836379956,387.9745415631969,387.97454156319696
303.1515151515151,118.50221775949053,143.6023724096913,584.4210288548192,649.4336420630343,110.48884459799086,110.48884459799086,396.26798768768754,396.26798768768765
308.1212121212121,123.41056581160353,145.55986621389016,595.5190321838551,661.2821285133214,114.7429960753701,114.74299607537019,404.55500027716886,404.5550002771689
313.09090909090907,128.02170222515036,147.64057481686234,606.5894723852474,673.1189270643239,118.81428069255077,118.81428069255085,412.83405878384275,412.83405878384286
318.06060606060606,132.31540971324247,149.88681530955748,617.6338602553823,684.9441443586554,122.72673628201655,122.72673628201657,421.1039313764055,421.1039313764055
323.03030303030306,136.26143760120618,152.34712102261832,628.6535949641993,696.7579203970737,126.50025086141297,126.50025086141298,429.36363169418894,429.363631694189
328.0,139.83118058527612,155.06540515634057,639.6499741404465,708.5604220120916,130.15146359467505,130.15146359467508,437.6123815937615,437.61238159376154
332.969696969697,143.01605152592634,158.06320569299726,650.6242029343597,720.3518373468168,133.69442963204665,133.69442963204665,445.849579158253,445.849579158253
337.93939393939394,145.84122029616367,161.32640894554302,661.5774021632193,732.1323711921747,137.14112080144113,137.1411208014412,454.07477129393203,454.07477129393214
342.90909090909093,148.36159740367626,164.80961836195362,672.510615636211,743.9022410564527,140.50180938294187,140.5018093829419,462.2876303021392,462.2876303021393
347.8787878787879,150.64365885224817,168.45460256101313,683.424816745965,755.6616738590816,143.78536682333586,143.78536682333586,470.48793388089706,470.48793388089723
352.8484848484849,152.74865266005096,172.20730311298362,694.3209144054521,767.4109031561796,146.99949940237477,146.99949940237477,478.6755480752384,478.67554807523845
357.8181818181818,154.7251906828436,176.0254131160918,705.1997584007348,779.1501668187636,150.15093638878346,150.15093638878358,486.8504127560589,486.850412756059
362.7878787878788,156.60901215119006,179.87875067865218,716.0621442225017,790.8797050960886,153.24558186552056,153.24558186552062,495.0125292628658,495.0125292628659
367.75757575757575,158.42554166695302,183.7468122178271,726.9088174324437,802.5997590064279,156.28863840650106,156.28863840650112,503.16194989562223,503.1619498956223
372.72727272727275,160.19272178418703,187.6160311084969,737.7404776142802,814.3105690060951,159.28470868606152,159.28470868606152,511.2987689849971,511.2987689849971
377.6969696969697,161.92328256305348,191.47758353432067,748.5577819536791,826.0123738947186,162.23787960413958,162.23787960413958,519.4231153089327,519.4231153089327
382.6666666666667,163.62636435193394,195.32582850439772,759.3613484863083,837.7054099209766,165.15179242470194,165.15179242470197,527.5351456570003,527.5351456570004
387.6363636363636,165.30862774468693,199.1572505598975,770.1517590488377,849.389910058274,168.029701627281,168.02970162728118,535.6350393729901,535.6350393729901
392.6060606060606,166.9750024469356,202.96975535459174,780.9295619637572,861.0661034243165,170.87452457756982,170.87452457756982,543.7229937311038,543.7229937311038
397.57575757575756,168.6291931767265,206.76220148690143,791.695274485409,872.7342148224195,173.6888836754969,173.68888367549695,551.7992200224676,551.7992200224676
402.54545454545456,170.27402445945498,210.53408791211675,802.4493850315538,884.3944643856277,176.47514229825083,176.47514229825086,559.8639402469395,559.8639402469395
407.5151515151515,171.91167858267852,214.2853436169729,813.1923552220593,896.0470673075214,179.2354355933129,179.23543559331299,567.9173843207457,567.9173843207458
412.4848484848485,173.54386215682726,218.01618487233563,823.9246217439174,907.6922336459817,181.97169697271005,181.9716969727102,575.9597877237552,575.9597877237553
417.45454545454544,175.1719244218384,221.72701754063237,834.6465980596697,919.3301681881856,184.68568099996423,184.68568099996423,583.9913895214828,583.9913895214828
422.42424242424244,176.7969425075307,225.41836973281715,845.3586759744637,930.9610703668766,187.37898323503921,187.3789832350393,592.0124307065188,592.0124307065188
427.3939393939394,178.41978374732574,229.09084512747967,856.0612270752898,942.5851342193905,190.05305750217713,190.05305750217713,600.0231528122478,600.023152812248
432.3636363636364,180.0411518355576,232.7450905019779,866.7546040545263,954.2025483822082,192.70923096505732,192.70923096505737,608.0237967586655,608.0237967586656
437.3333333333333,181.66162145374267,236.38177313238128,877.4391419286012,965.8134961148724,195.3487173288188,195.3487173288189,616.0146018960072,616.0146018960073
442.3030303030303,183.281664558607,240.00156510475617,888.1151591614638,977.418155348024,197.97262843583093,197.97262843583107,623.9958052169235,623.9958052169237
447.27272727272725,184.90167056479572,243.60513250209146,898.7829587015357,989.0166987511057,200.5819844791383,200.5819844791383,631.9676407122198,631.9676407122198
452.24242424242425,186.52196200385097,247.19312805132643,909.4428289399233,1000.609293815939,203.1777230222518,203.17772302225194,639.9303388488119,639.9303388488119
457.2121212121212,188.1428067934795,250.76618623689862,920.0950445968915,1012.1961029529754,205.76070698490932,205.76070698490932,647.8841261516513,647.8841261516513
462.1818181818182,189.7644279397365,254.32492017741671,930.739867542871,1023.7772835974855,208.33173173035354,208.33173173035362,655.8292248740216,655.8292248740216
467.1515151515151,191.387011275557,257.8699197636897,941.3775475596698,1035.3529883233928,210.89153136965356,210.8915313696536,663.7658527428576,663.7658527428579
