omega,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8
0.0,-370.9336864357074,-370.9336864357074,-114.88342033216246,-114.8834203321623,-370.9336864357074,-370.9336864357074,-114.88342033216246,-114.8834203321623
0.24612306153076538,-370.93335061224514,-370.9332773205537,-114.88334200880612,-114.88326746345534,-370.9335002010859,-370.93350020108585,-114.88336253421332,-114.88336253421325
0.49224612306153076,-370.9323431403997,-370.9320499727497,-114.88310703725375,-114.88280885492144,-370.9329414966605,-370.93294149666036,-114.8831891401911,-114.88318914019096
0.7383691845922962,-370.93066401579347,-370.93000438526633,-114.8827154130552,-114.88204449932238,-370.9320103207481,-370.9320103207479,-114.88290014957254,-114.88290014957236
0.9844922461230615,-370.9283132311307,-370.9271405463879,-114.88216712879282,-114.88097438459424,-370.9307066705433,-370.9307066705433,-114.8824955614851,-114.88249556148507
1.2306153076538269,-370.92529077619713,-370.92345843971253,-114.88146217408153,-114.87959849384569,-370.9290305421194,-370.92903054211934,-114.88197537470742,-114.8819753747073
1.4767383691845923,-370.92159663786026,-370.91895804415117,-114.8806005355677,-114.8779168053582,-370.9269819304267,-370.9269819304267,-114.8813395876692,-114.8813395876692
1.7228614307153576,-370.91723080006835,-370.9136393339275,-114.8795821969283,-114.87592929258368,-370.9245608292937,-370.92456082929357,-114.88058819845094,-114.88058819845078
1.968984492246123,-370.91219324385094,-370.9075022785772,-114.8784071388697,-114.87363592414216,-370.92176723142626,-370.92176723142626,-114.87972120478389,-114.87972120478389
2.2151075537768885,-370.9064839473184,-370.9005468429473,-114.87707533912632,-114.87103666382114,-370.9186011284082,-370.91860112840817,-114.87873860405071,-114.87873860405062
2.4612306153076537,-370.9001028856612,-370.89277298719514,-114.87558677245904,-114.8681314705724,-370.9150625107006,-370.9150625107005,-114.8776403932847,-114.87764039328461
2.707353676838419,-370.89305003115044,-370.88418066678804,-114.87394141065354,-114.86492029850832,-370.9111513676414,-370.9111513676414,-114.87642656916977,-114.8764265691697
2.9534767383691847,-370.88532535313635,-370.8747698325017,-114.87213922251775,-114.86140309690019,-370.90686768744655,-370.9068676874465,-114.87509712804086,-114.87509712804085
3.19959979989995,-370.8769288180488,-370.8645404304194,-114.8701801738805,-114.85757981017512,-370.90221145720807,-370.90221145720807,-114.87365206588369,-114.87365206588359
3.445722861430715,-370.86786038939647,-370.8534924019308,-114.86806422758836,-114.85345037790978,-370.89718266289543,-370.8971826628953,-114.87209137833432,-114.87209137833399
3.691845922961481,-370.8581200277662,-370.84162568373023,-114.86579134350319,-114.84901473482884,-370.891781289354,-370.891781289354,-114.87041506067942,-114.87041506067939
3.937968984492246,-370.84770769082263,-370.82894020781606,-114.86336147849944,-114.84427281080026,-370.8860073203061,-370.8860073203061,-114.86862310785669,-114.86862310785669
4.184092046023012,-370.8366233333077,-370.8154359014883,-114.8607745864609,-114.83922453082843,-370.8798607383495,-370.8798607383495,-114.86671551445377,-114.86671551445376
4.430215107553777,-370.82486690703973,-370.8011126873472,-114.85803061827744,-114.83386981505184,-370.87334152495845,-370.87334152495833,-114.86469227470891,-114.86469227470884
4.676338169084542,-370.8124383609132,-370.78597048329226,-114.85512952184148,-114.82820857873632,-370.8664496604821,-370.8664496604821,-114.86255338251027,-114.86255338251026
4.9224612306153075,-370.79933764089714,-370.7700092025189,-114.85207124204433,-114.82224073226911,-370.85918512414526,-370.8591851241451,-114.86029883139673,-114.86029883139672
5.168584292146073,-370.7855646900359,-370.7532287535181,-114.84885572077226,-114.81596618115329,-370.85154789404726,-370.85154789404726,-114.85792861455685,-114.85792861455685
5.414707353676838,-370.77111944844654,-370.735629040073,-114.84548289690211,-114.80938482600118,-370.84353794716253,-370.8435379471625,-114.85544272482935,-114.85544272482926
5.660830415207604,-370.7560018533196,-370.7172099612577,-114.84195270629748,-114.80249656252758,-370.83515525933933,-370.83515525933933,-114.85284115470276,-114.85284115470276
5.906953476738369,-370.740211838917,-370.69797141143437,-114.83826508180317,-114.79530128154298,-370.8263998052999,-370.8263998052999,-114.8501238963154,-114.8501238963154
6.153076538269135,-370.72374933657204,-370.67791328025123,-114.83441995324159,-114.78779886894573,-370.81727155864013,-370.81727155864013,-114.84729094145521,-114.84729094145521
6.3991995997999,-370.70661427468804,-370.6570354526396,-114.83041724740664,-114.77998920571477,-370.8077704918288,-370.8077704918287,-114.84434228155963,-114.8443422815596
6.645322661330665,-370.688806578737,-370.635337808812,-114.82625688805906,-114.77187216790105,-370.7978965762075,-370.7978965762074,-114.84127790771554,-114.8412779077155
6.89144572286143,-370.6703261712595,-370.6128202242587,-114.82193879592084,-114.76344762661901,-370.78764978198996,-370.7876497819899,-114.83809781065905,-114.83809781065901
7.137568784392196,-370.6511729718626,-370.5894825697455,-114.81746288866957,-114.75471544803914,-370.77703007826193,-370.7770300782618,-114.83480198077557,-114.83480198077535
7.383691845922962,-370.63134689721926,-370.56532471131055,-114.8128290809322,-114.74567549337657,-370.76603743298006,-370.76603743298,-114.83139040809873,-114.83139040809861
7.629814907453727,-370.6108478610674,-370.54034651026103,-114.80803728427935,-114.73632761888418,-370.75467181297233,-370.75467181297233,-114.82786308231188,-114.82786308231188
7.875937968984492,-370.58967577420833,-370.51454782317086,-114.80308740721885,-114.72667167584052,-370.7429331839369,-370.7429331839369,-114.82421999274676,-114.82421999274675
8.122061030515258,-370.56783054450506,-370.4879285018762,-114.79797935518882,-114.71670751054134,-370.73082151044156,-370.73082151044144,-114.82046112838344,-114.82046112838331
8.368184092046024,-370.54531207688245,-370.46048839347367,-114.79271303055131,-114.70643496428814,-370.7183367559236,-370.71833675592353,-114.81658647785025,-114.81658647785021
8.614307153576789,-370.5221202733244,-370.4322273403156,-114.78728833258491,-114.69585387337807,-370.70547888268914,-370.705478882689,-114.81259602942414,-114.812596029424
8.860430215107554,-370.4982550328732,-370.4031451800066,-114.78170515747777,-114.68496406909193,-370.6922478519121,-370.6922478519121,-114.80848977102937,-114.80848977102933
9.10655327663832,-370.4737162516281,-370.37324174540095,-114.77596339831979,-114.67376537768328,-370.6786436236344,-370.67864362363434,-114.80426769023879,-114.80426769023866
9.352676338169085,-370.44850382274376,-370.34251686459766,-114.77006294509518,-114.66225762036602,-370.6646661567648,-370.6646661567648,-114.79992977427197,-114.79992977427197
9.59879939969985,-370.42261763642904,-370.3109703609369,-114.7640036846746,-114.65044061330224,-370.6503154090782,-370.650315409078,-114.79547600999669,-114.79547600999658
9.844922461230615,-370.39605757994485,-370.2786020529964,-114.75778550080656,-114.63831416759092,-370.6355913372154,-370.6355913372154,-114.79090638392739,-114.79090638392726
10.09104552276138,-370.3688235376034,-370.2454117545869,-114.75140827410912,-114.6258780892528,-370.62049389668226,-370.62049389668226,-114.78622088222596,-114.78622088222596
10.337168584292145,-370.3409153907659,-370.2113992747482,-114.74487188206172,-114.61313217921835,-370.6050230418492,-370.6050230418492,-114.78141949070071,-114.78141949070071
10.58329164582291,-370.3123330178413,-370.1765644177448,-114.73817619899557,-114.60007623331396,-370.58917872595003,-370.58917872595003,-114.7765021948068,-114.7765021948068
10.829414707353676,-370.2830762942848,-370.14090698306137,-114.7313210960852,-114.58671004224773,-370.57296090108173,-370.57296090108173,-114.7714689796456,-114.77146897964559
11.075537768884443,-370.2531450925953,-370.1044267653981,-114.72430644133843,-114.57303339159532,-370.5563695182034,-370.5563695182033,-114.76631982996471,-114.7663198299646
11.321660830415208,-370.2225392823149,-370.0671235546667,-114.71713209958754,-114.55904606178456,-370.53940452713573,-370.53940452713573,-114.76105473015767,-114.76105473015755
11.567783891945973,-370.1912587300259,-370.0289971359848,-114.70979793247871,-114.54474782808099,-370.5220658765605,-370.5220658765604,-114.75567366426333,-114.7556736642633
11.813906953476739,-370.15930329934963,-369.9900472896717,-114.70230379846251,-114.5301384605719,-370.50435351401876,-370.50435351401865,-114.75017661596661,-114.75017661596661
12.060030015007504,-370.12667285094454,-369.9502737912431,-114.69464955278303,-114.51521772415055,-370.4862673859113,-370.4862673859112,-114.74456356859737,-114.74456356859716
12.30615307653827,-370.0933672425039,-369.9096764114062,-114.68683504746794,-114.49998537850024,-370.4678074374972,-370.4678074374972,-114.73883450512967,-114.73883450512967
