omega,V
0.0,0
0.24612306153076538,-916.462338992008
0.49224612306153076,-3665.84385168834
0.7383691845922962,-8248.12802524994
0.9844922461230615,-14663.2873382783
1.2306153076538269,-22911.2832608157
1.4767383691845923,-32992.0662543449
1.7228614307153576,-44905.5757717892
1.968984492246123,-58651.7402575128
2.2151075537768885,-74230.4771473202
2.4612306153076537,-91641.6928684568
2.707353676838419,-110885.282839608
2.9534767383691847,-131961.131470902
3.19959979989995,-154869.112163904
3.445722861430715,-179609.087311622
3.691845922961481,-206180.908298505
3.937968984492246,-234584.415500442
4.184092046023012,-264819.438284763
4.430215107553777,-296885.795010237
4.676338169084542,-330783.293027075
4.9224612306153075,-366511.728676930
5.168584292146073,-404070.887292893
5.414707353676838,-443460.543199497
5.660830415207604,-484680.459712715
5.906953476738369,-527730.389139961
6.153076538269135,-572610.072780090
6.3991995997999,-619319.240923396
6.645322661330665,-667857.612851617
6.89144572286143,-718224.896837928
7.137568784392196,-770420.790146946
7.383691845922962,-824444.979034729
7.629814907453727,-880297.138748775
7.875937968984492,-937976.933528024
8.122061030515258,-997484.016602854
8.368184092046024,-1058818.03019509
8.614307153576789,-1121978.60551798
8.860430215107554,-1186965.36277624
9.10655327663832,-1253777.91116600
9.352676338169085,-1322415.84887486
9.59879939969985,-1392878.76308182
9.844922461230615,-1465166.22995737
10.09104552276138,-1539277.81466339
10.337168584292145,-1615213.07135324
10.58329164582291,-1692971.54317170
10.829414707353676,-1772552.76225499
11.075537768884443,-1853956.24973080
11.321660830415208,-1937181.51571821
11.567783891945973,-2022228.05932779
11.813906953476739,-2109095.36866151
12.060030015007504,-2197782.92081281
12.30615307653827,-2288290.18186657
12.552276138069034,-2380616.60689908
12.7983991995998,-2474761.63997810
13.044522261130565,-2570724.71416283
13.29064532266133,-2668505.25150389
13.536768384192095,-2768102.66304336
13.78289144572286,-2869516.34881475
14.029014507253626,-2972745.69784302
14.275137568784393,-3077790.08814456
14.521260630315158,-3184648.88672721
14.767383691845923,-3293321.44959025
15.013506753376689,-3403807.12172438
15.259629814907454,-3516105.23711178
15.505752876438219,-3630215.11872603
15.751875937968984,-3746136.07853218
15.99799899949975,-3863867.41748670
16.244122061030517,-3983408.42553751
16.49024512256128,-4104758.38162398
16.736368184092047,-4227916.55367691
16.98249124562281,-4352882.19861854
17.228614307153578,-4479654.56236255
17.47473736868434,-4608232.87981406
17.720860430215108,-4738616.37486964
17.96698349174587,-4870804.26041730
18.21310655327664,-5004795.73833647
18.459229614807402,-5140589.99949804
18.70535267633817,-5278186.22376435
18.951475737868936,-5417583.57998915
19.1975987993997,-5558781.22601765
19.443721860930467,-5701778.30868651
19.68984492246123,-5846573.96382381
19.935967983991997,-5993167.31624907
20.18209104552276,-6141557.47977328
20.428214107053527,-6291743.55719883
20.67433716858429,-6443724.64031959
20.920460230115058,-6597499.80992084
21.16658329164582,-6753068.13577932
21.41270635317659,-6910428.67666320
21.658829414707352,-7069580.48033209
21.90495247623812,-7230522.58353704
22.151075537768886,-7393254.01202056
22.39719859929965,-7557773.78051657
22.643321660830416,-7724080.89275046
22.88944472236118,-7892174.34143904
23.135567783891947,-8062053.10829057
23.38169084542271,-8233716.16400474
23.627813906953477,-8407162.46827270
23.87393696848424,-8582390.96977702
24.120060030015008,-8759400.60619172
24.36618309154577,-8938190.30418227
24.61230615307654,-9118758.97940556
24.858429214607302,-9301105.53650994
25.10455227613807,-9485228.86913519
25.350675337668836,-9671127.85991253
25.5967983991996,-9858801.38046463
25.842921460730366,-10048248.2914056
26.08904452226113,-10239467.4423409
26.335167583791897,-10432457.6718677
26.58129064532266,-10627217.8075743
26.827413706853427,-10823746.6660405
27.07353676838419,-11022043.0528378
27.319659829914958,-11222105.7625287
27.56578289144572,-11423933.5786677
27.81190595297649,-11627525.2738001
28.05802901450725,-11832879.6094632
28.30415207603802,-12039995.3361854
28.550275137568786,-12248871.1934868
28.79639819909955,-12459505.9098785
29.042521260630316,-12671898.2028637
29.28864432216108,-12886046.7789363
29.534767383691847,-13101950.3335823
29.78089044522261,-13319607.5512788
30.027013506753377,-13539017.1054943
30.27313656828414,-13760177.6586888
30.519259629814908,-13983087.8623140
30.76538269134567,-14207746.3568126
31.011505752876438,-14434151.7716190
31.2576288144072,-14662302.7251591
31.50375187593797,-14892197.8248500
31.749874937468736,-15123835.6671005
31.9959979989995,-15357214.8373106
32.242121060530266,-15592333.9098720
32.48824412206103,-15829191.4481676
32.73436718359179,-16067786.0045719
32.98049024512256,-16308116.1204507
33.22661330665333,-16550180.3261614
33.472736368184094,-16793977.1410528
33.718859429714854,-17039505.0734649
33.96498249124562,-17286762.6207296
34.21110555277639,-17535748.2691699
34.457228614307155,-17786460.4941002
34.70335167583792,-18038897.7598266
34.94947473736868,-18293058.5196465
35.19559779889945,-18548941.2158487
35.441720860430216,-18806544.2797135
35.68784392196098,-19065866.1315127
35.93396698349174,-19326905.1805094
36.18009004502251,-19589659.8249581
36.42621310655328,-19854128.4521051
36.672336168084044,-20120309.4381877
36.918459229614804,-20388201.1484349
37.16458229114557,-20657801.9370671
37.41070535267634,-20929110.1472960
37.656828414207105,-21202124.1113250
37.90295147573787,-21476842.1503487
38.14907453726863,-21753262.5745533
38.3951975987994,-22031383.6831163
38.641320660330166,-22311203.7642067
38.88744372186093,-22592721.0949851
39.13356678339169,-22875933.9416033
39.37968984492246,-23160840.5592046
39.62581290645323,-23447439.1919239
39.871935967983994,-23735728.0728873
40.118059029514754,-24025705.4242125
40.36418209104552,-24317369.4570086
40.61030515257629,-24610718.3713762
40.856428214107055,-24905750.3564072
41.10255127563782,-25202463.5901851
41.34867433716858,-25500856.2397847
41.59479739869935,-25800926.4612723
41.840920460230116,-26102672.3997056
42.08704352176088,-26406092.1891339
42.33316658329164,-26711183.9525978
42.57928964482241,-27017945.8021294
42.82541270635318,-27326375.8387521
43.071535767883944,-27636472.1524808
43.317658829414704,-27948232.8223221
43.56378189094547,-28261655.9162737
43.80990495247624,-28576739.4913249
44.056028014007005,-28893481.5934563
44.30215107553777,-29211880.2576403
44.54827413706853,-29531933.5078402
44.7943971985993,-29853639.3570112
45.040520260130066,-30176995.8070998
45.28664332166083,-30502000.8490438
45.53276638319159,-30828652.4627726
45.77888944472236,-31156948.6172071
46.02501250625313,-31486887.2702593
46.271135567783894,-31818466.3688331
