omega,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8
0.0,-590.3405475632452,-590.3405475632452,274.8259192448623,274.8259192448623,-590.3405475632452,-590.3405475632452,274.8259192448623,274.8259192448623
25.894736842105264,-587.597430889221,-581.441044620502,273.7043170185566,276.5429092589161,-587.616712681476,-587.616712681476,273.1992979910432,273.1992979910433
51.78947368421053,-579.1802192931724,-553.8866176612795,270.4055920319525,281.74934144208214,-579.2758749349861,-579.2758749349861,268.08363314486166,268.0836331448617
77.6842105263158,-564.7993804214153,-504.652800946615,265.05477210086104,290.6600369012195,-565.0479532228836,-565.0479532228836,259.3059075887624,259.3059075887626
103.57894736842105,-543.8991903526312,-426.64216969474995,257.77024242348125,303.73871602222704,-544.4262287990027,-544.4262287990027,246.54807153756752,246.54807153756755
129.47368421052633,-515.850922510898,-295.143152023083,250.56253588189446,321.4686652928695,-516.5976777156013,-516.5976777156011,230.3308203411682,230.3308203411682
155.3684210526316,-484.2408626834891,150.88400454092118,232.64988265690906,352.00556053765104,-486.12859490286854,-486.1285949028685,203.5907467303973,203.5907467303974
181.26315789473685,-400.20784528631566,242.2933456827954,333.41029993840624,447.29180281594125,-401.67348702873386,-401.6734870287338,175.12403252419645,175.12403252419648
207.1578947368421,-332.30305028425306,246.26767254337457,373.3475367934855,597.145570865083,-339.08833947494026,-339.0883394749402,155.17278368636022,155.17278368636028
233.05263157894737,-216.90525253257536,219.2941227618512,400.70307520608907,733.2849654827678,-240.51236045393864,-240.51236045393864,-94.93997497691365,-94.93997497691339
258.94736842105266,204.521170521619,260.0736849376636,432.747395920724,856.3237161809357,-169.85365989614198,-169.85365989614195,141.89876515625355,141.89876515625357
284.8421052631579,271.61453057100607,341.9809997141569,465.82832936009004,995.0840567808875,-424.06544560160904,-424.0654456016078,296.41757590261943,296.41757590261943
310.7368421052632,289.60811070582,452.7372346866847,501.67237563266576,1122.5260755926533,-56.90366775697571,-56.903667756975324,458.73344852893706,458.7334485289371
336.63157894736844,306.6315758847291,521.65133535502,580.0928486494811,1248.2163883111875,-205.4640367465355,-205.46403674653536,553.4555368913358,553.4555368913358
362.5263157894737,277.8527681535532,577.1713119691668,657.156670199805,1370.8419347190666,-267.9395239017335,-267.93952390173325,645.7953142780093,645.7953142780093
388.42105263157896,352.73348328380195,617.2955905771099,778.6628920914374,1490.2249915129623,-321.25407302262926,-321.2540730226292,733.2772050687327,733.2772050687329
414.3157894736842,357.0741561985766,657.1134669497922,855.3742390883551,1609.4028128375894,-365.09021853904164,-365.0902185390412,818.0636107925133,818.0636107925134
440.2105263157895,364.4307244912796,698.4155427460203,934.5731755460374,1727.996817938253,-405.59234500562235,-405.59234500562224,900.5339638003245,900.5339638003248
466.10526315789474,372.822676956289,740.7411296543199,1013.5471811621544,1846.0505291542156,-444.20048510278497,-444.2004851027848,981.2295415367493,981.2295415367494
492.0,381.8324535221311,783.88791666194,1091.878357297481,1963.661869819701,-481.5457660332721,-481.5457660332717,1060.559177728153,1060.5591777281534
