omega,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8
0.0,-537.9897363408629,-537.9897363408628,280.08035442913706,280.0803544291372,-537.9897363408629,-537.9897363408628,280.08035442913695,280.0803544291372
4.96969696969697,-537.8990827790141,-537.6570553860523,280.01025233961684,280.130635932699,-537.8882273449303,-537.8882273449302,280.02592920275794,280.02592920275794
9.93939393939394,-537.6048033454501,-536.6590399179761,279.8028331795029,280.280910251047,-537.5829377974267,-537.5829377974266,279.8613748544576,279.86137485445806
14.90909090909091,-537.1068284206079,-534.9918313304069,279.45807456596845,280.5315555832194,-537.0734859955262,-537.0734859955262,279.58651778855506,279.58651778855517
19.87878787878788,-536.4045242621174,-532.6494372762764,278.9759474768492,280.8832034982243,-536.3592341853168,-536.3592341853167,279.2010701871396,279.20107018713963
24.848484848484848,-535.4969877960821,-529.6233260365552,278.35641598265397,281.3367496462724,-535.4392840889599,-535.4392840889598,278.70462836247987,278.7046283624799
29.81818181818182,-534.3830420468759,-525.9022697385526,277.5994410495961,281.89336501329416,-534.3124705322098,-534.3124705322098,278.09667043051775,278.0966704305178
34.78787878787879,-533.0612271536762,-521.4721348037093,276.70498538435277,282.5545111501742,-532.9773530504126,-532.9773530504126,277.376553268128,277.37655326812813
39.75757575757576,-531.5297886173232,-516.3156086024718,275.6730191903965,283.32195995962815,-531.4322053109806,-531.4322053109805,276.5435087024152,276.5435087024152
44.72727272727273,-529.7866627198854,-510.4118495745475,274.5035265570788,284.1978187341525,-529.6750021464139,-529.6750021464139,275.5966388629328,275.59663886293293
49.696969696969695,-527.8294588226845,-503.736043876921,273.1965119123957,285.18456121499474,-527.7034039437718,-527.7034039437717,274.53491060662446,274.5349106066245
54.666666666666664,-525.6554381382676,-496.2588458865793,271.75200542796546,286.2850654235121,-525.5147380843213,-525.5147380843212,273.35714890018,273.35714890018005
59.63636363636364,-523.2614884739482,-487.9456721956377,270.1700652483415,287.5026587781275,-523.1059770725142,-523.1059770725142,272.062029016278,272.0620290162782
64.60606060606061,-520.6440943438498,-478.75580845878295,268.45077247830994,288.84117028079646,-520.4737129407882,-520.4737129407882,270.6480673731165,270.6480673731166
69.57575757575758,-517.7993017483077,-468.64127493856404,266.59421105420813,290.3049877279771,-517.614127475649,-517.614127475649,269.11361083368786,269.11361083368786
