omega,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8
0.0,-202.55692211440567,-202.5569221144056,373.8172102732314,373.8172102732316,-202.55692211440567,-202.5569221144056,373.8172102732314,373.8172102732316
0.24612306153076538,-202.55676173743456,-202.5565297399108,373.81739217738624,373.8175390978111,-202.55678392655096,-202.5567839265509,373.81733795541237,373.8173379554124
0.49224612306153076,-202.5562806072399,-202.55535261518204,373.8179378909617,373.8185255707714,-202.55636936299624,-202.55636936299615,373.8177210020047,373.8177210020049
0.7383691845922962,-202.55547872597532,-202.55339073648736,373.81884741729,373.82016968977683,-202.55567842376942,-202.5556784237694,373.81835941315853,373.81835941315853
0.9844922461230615,-202.5543560972319,-202.55064409760627,373.82012076192643,373.82247145093476,-202.5547111089177,-202.5547111089177,373.8192531891232,373.8192531891232
1.2306153076538269,-202.55291272603577,-202.54711268982973,373.8217579326466,373.8254308487957,-202.55346741850673,-202.55346741850664,373.8204023302481,373.8204023302482
1.4767383691845923,-202.5511486188495,-202.5427965019596,373.8237589394487,373.82904787635306,-202.5519473526208,-202.55194735262077,373.82180683698255,373.8218068369827
1.7228614307153576,-202.54906378357015,-202.53769552030798,373.82612379455196,373.8333225250426,-202.55015091136298,-202.55015091136298,373.8234667098757,373.8234667098757
1.968984492246123,-202.54665822953194,-202.5318097286966,373.8288525123971,373.8382547847441,-202.5480780948553,-202.5480780948551,373.8253819495759,373.82538194957607
2.2151075537768885,-202.54393196750246,-202.5251391084558,373.8319451096462,373.84384464377905,-202.54572890323757,-202.54572890323746,373.8275525568317,373.8275525568318
2.4612306153076537,-202.5408850096845,-202.51768363842356,373.8354016051819,373.8500920889125,-202.5431033366691,-202.54310333666908,373.82997853249134,373.8299785324914
2.707353676838419,-202.53751736971492,-202.50944329494456,373.83922202010825,373.85699710535187,-202.54020139532722,-202.54020139532716,373.83265987750235,373.83265987750246
2.9534767383691847,-202.53382906266464,-202.50041805186868,373.84340637774915,373.8645596767473,-202.53702307940762,-202.5370230794076,373.83559659291234,373.83559659291234
3.19959979989995,-202.52982010503757,-202.49060788054953,373.84795470364924,373.8727797851921,-202.53356838912453,-202.5335683891245,373.83878867986795,373.83878867986795
3.445722861430715,-202.52549051476936,-202.48001274984327,373.8528670255729,373.8816574112213,-202.5298373247103,-202.52983732471026,373.84223613961547,373.8422361396156
3.691845922961481,-202.52084031122922,-202.46863262610654,373.85814337350376,373.8911925338133,-202.5258298864156,-202.5258298864156,373.8459389735009,373.8459389735009
3.937968984492246,-202.51586951521622,-202.45646747319483,373.86378377964587,373.90138513038875,-202.5215460745091,-202.52154607450902,373.8498971829691,373.84989718296913
4.184092046023012,-202.5105781489602,-202.44351725246048,373.86978827842074,373.9122351768101,-202.5169858892773,-202.51698588927727,373.8541107695644,373.8541107695644
4.430215107553777,-202.5049662361212,-202.42978192275072,373.8761569064691,373.923742647383,-202.51214933102483,-202.5121493310248,373.85857973493034,373.85857973493034
4.676338169084542,-202.4990338017884,-202.41526144040526,373.8828897026498,373.9359075148548,-202.50703640007399,-202.50703640007384,373.86330408080954,373.86330408080966
4.9224612306153075,-202.49278087247805,-202.39995575925403,373.889986708039,373.948729750415,-202.50164709676437,-202.50164709676437,373.8682838090438,373.8682838090438
5.168584292146073,-202.48620747613367,-202.38386483061467,373.8974479659298,373.9622093236953,-202.49598142145356,-202.49598142145345,373.8735189215734,373.8735189215735
5.414707353676838,-202.47931364212593,-202.36698860328985,373.9052735218325,373.9763462027692,-202.49003937451627,-202.4900393745162,373.8790094204381,373.8790094204381
5.660830415207604,-202.472099401249,-202.34932702356463,373.9134634234729,373.9911403541524,-202.48382095634426,-202.48382095634426,373.8847553077756,373.8847553077756
5.906953476738369,-202.46456478572227,-202.33088003520342,373.9220177207923,374.00659174280173,-202.4773261673466,-202.4773261673466,373.8907565858227,373.8907565858227
6.153076538269135,-202.4567098291869,-202.3116475794469,373.93093646594707,374.02270033211585,-202.47055500794906,-202.47055500794903,373.89701325691465,373.8970132569147
6.3991995997999,-202.44853456670668,-202.29162959500903,373.94021971330756,374.03946608393534,-202.46350747859412,-202.46350747859412,373.9035253234849,373.9035253234849
6.645322661330665,-202.44003903476542,-202.27082601807345,373.949867519458,374.05688895854166,-202.45618357974095,-202.45618357974092,373.91029278806536,373.91029278806536
6.89144572286143,-202.43122327126517,-202.24923678229027,373.9598799431955,374.07496891465735,-202.44858331186495,-202.44858331186495,373.9173156532858,373.9173156532858
7.137568784392196,-202.42208731552665,-202.2268618187722,373.97025704552914,374.09370590944684,-202.4407066754577,-202.4407066754577,373.92459392187425,373.9245939218743
7.383691845922962,-202.41263120828722,-202.20370105609106,373.98099888967965,374.1130998985147,-202.432553671027,-202.43255367102677,373.9321275966563,373.93212759665636
