omega,V
0.0,0
4.96969696969697,-373578.098898662
9.93939393939394,-1493397.41708933
14.90909090909091,-3356713.01905608
19.87878787878788,-5958950.01227232
24.848484848484848,-9293703.54720087
29.81818181818182,-13352738.8172939
34.78787878787879,-18125991.0589930
39.75757575757576,-23601565.5517290
44.72727272727273,-29765737.6179223
49.696969696969695,-36602952.6229825
54.666666666666664,-44095825.9753086
59.63636363636364,-52225143.1262892
64.60606060606061,-60969859.5703019
69.57575757575758,-70307100.8447140
74.54545454545455,-80212162.5298818
79.51515151515152,-90658510.2491515
84.48484848484848,-101617779.668858
89.45454545454545,-113059776.498327
94.42424242424242,-124952476.489871
99.39393939393939,-137262025.438794
104.36363636363636,-149952739.183389
109.33333333333333,-162987103.604938
114.3030303030303,-176325774.627713
119.27272727272728,-189927578.218974
124.24242424242425,-203749510.388972
129.21212121212122,-217746737.190946
134.1818181818182,-231872594.721126
139.15151515151516,-246078589.118729
144.12121212121212,-260314396.565963
149.0909090909091,-274527863.288027
154.06060606060606,-288665005.553105
159.03030303030303,-302670009.672374
164.0,-316485232.000000
168.96969696969697,-330051198.933136
173.93939393939394,-343306606.911927
178.9090909090909,-356188322.419507
183.87878787878788,-368631381.981997
188.84848484848484,-380568992.168510
193.8181818181818,-391932529.591148
198.78787878787878,-402651540.905001
203.75757575757575,-412653742.808150
208.72727272727272,-421865022.041664
213.6969696969697,-430209435.389602
218.66666666666666,-437609209.679012
223.63636363636363,-443984741.779933
228.6060606060606,-449254598.605391
233.57575757575756,-453335517.111403
238.54545454545456,-456142404.296974
243.51515151515153,-457588337.204100
248.4848484848485,-457584562.917766
253.45454545454547,-456040498.565945
258.42424242424244,-452863731.319600
263.3939393939394,-447960018.392685
268.3636363636364,-441233287.042142
273.3333333333333,-432585634.567901
278.3030303030303,-421917328.312884
283.27272727272725,-409126805.663001
288.24242424242425,-394110674.047151
293.2121212121212,-376763710.937224
298.1818181818182,-356978863.848098
303.1515151515151,-334647250.337640
308.1212121212121,-309658158.006707
313.09090909090907,-281899044.499146
318.06060606060606,-251255537.501793
323.03030303030306,-217611434.744473
328.0,-180848704.000000
332.969696969697,-140847483.084178
337.93939393939394,-97486079.8558016
342.90909090909093,-50640972.2166517
347.8787878787879,-186808.111501455
352.8484848484849,54003594.4718883
357.8181818181818,112059247.502766
362.7878787878788,174110992.907393
367.75757575757575,240291502.569037
372.72727272727275,310735278.327983
377.6969696969697,385578651.981520
382.6666666666667,464959785.283951
387.6363636363636,549018669.946589
392.6060606060606,637897127.637757
397.57575757575756,731738809.982790
402.54545454545456,830689198.564033
407.5151515151515,934895604.920840
412.4848484848485,1044507170.54958
417.45454545454544,1159674866.90363
422.42424242424244,1280551495.39337
427.3939393939394,1407291687.38620
432.3636363636364,1540051904.20654
437.3333333333333,1678990437.13580
442.3030303030303,1824267407.41241
447.27272727272725,1976044766.23181
452.24242424242425,2134486294.74646
457.2121212121212,2299757604.06581
462.1818181818182,2472026135.25634
467.1515151515151,2651461159.34152
472.1212121212121,2838233777.30186
477.0909090909091,3032516920.07486
482.06060606060606,3234485348.55503
487.03030303030306,3444315653.59390
492.0,3662186256.00000
