omega,V
0.0,-200275810.875000
2.472361809045226,-200345164.041278
4.944723618090452,-200553167.494790
7.417085427135678,-200899653.099572
9.889447236180905,-201384340.629016
12.361809045226131,-202006837.765873
14.834170854271356,-202766640.102249
17.306532663316585,-203663131.139608
19.77889447236181,-204695582.288772
22.251256281407034,-205863152.869917
24.723618090452263,-207164890.112581
27.195979899497488,-208599729.155654
29.668341708542712,-210166493.047386
32.14070351758794,-211863892.745384
34.61306532663317,-213690527.116611
37.085427135678394,-215644882.937388
39.55778894472362,-217725334.893392
42.030150753768844,-219930145.579659
44.50251256281407,-222257465.500580
46.9748743718593,-224705333.069904
49.447236180904525,-227271674.610737
51.91959798994975,-229954304.355542
54.391959798994975,-232750924.446140
56.8643216080402,-235659124.933707
59.336683417085425,-238676383.778779
61.80904522613066,-241800066.851246
64.28140703517587,-245027427.930357
66.75376884422111,-248355608.704718
69.22613065326634,-251781638.772291
71.69849246231156,-255302435.640397
74.17085427135679,-258914804.725711
76.64321608040201,-262615439.354268
79.11557788944724,-266400920.761460
81.58793969849246,-270267718.092033
84.06030150753769,-274212188.400094
86.53266331658291,-278230576.649104
89.00502512562814,-282319015.711883
91.47738693467336,-286473526.370607
93.9497487437186,-290690017.316811
96.42211055276383,-294964285.151384
98.89447236180905,-299292014.384574
101.36683417085428,-303668777.435986
103.8391959798995,-308090034.634581
106.31155778894473,-312551134.218680
108.78391959798995,-317047312.335957
111.25628140703517,-321573693.043446
113.7286432160804,-326125288.307537
116.20100502512562,-330696998.003978
118.67336683417085,-335283609.917872
121.14572864321609,-339879799.743681
123.61809045226131,-344480131.085224
126.09045226130654,-349079055.455676
128.56281407035175,-353670912.277570
131.03517587939697,-358249928.882796
133.50753768844223,-362810220.512600
135.97989949748745,-367345790.317587
138.45226130653268,-371850529.357717
140.9246231155779,-376318216.602308
143.39698492462313,-380742518.930037
145.86934673366835,-385116991.128934
148.34170854271358,-389435075.896390
150.8140703517588,-393690103.839150
153.28643216080403,-397875293.473319
155.75879396984925,-401983751.224356
158.23115577889448,-406008471.427081
160.7035175879397,-409942336.325666
163.17587939698493,-413778116.073645
165.64824120603015,-417508468.733905
168.12060301507537,-421125940.278694
170.5929648241206,-424622964.589614
173.06532663316582,-427991863.457626
175.53768844221105,-431224846.583046
178.01005025125627,-434314011.575549
180.4824120603015,-437251343.954166
182.95477386934672,-440028717.147286
185.42713567839198,-442637892.492655
187.8994974874372,-445070519.237374
190.37185929648243,-447318134.537905
192.84422110552765,-449372163.460064
195.31658291457288,-451223918.979024
197.7889447236181,-452864601.979316
200.26130653266333,-454285301.254830
202.73366834170855,-455476993.508809
205.20603015075378,-456430543.353856
207.678391959799,-457136703.311931
210.15075376884423,-457586113.814350
212.62311557788945,-457769303.201787
215.09547738693468,-457676687.724271
217.5678391959799,-457298571.541191
220.04020100502512,-456625146.721291
222.51256281407035,-455646493.242674
224.98492462311557,-454352578.992797
227.4572864321608,-452733259.768478
229.92964824120602,-450778279.275889
232.40201005025125,-448477269.130560
234.87437185929647,-445819748.857379
237.3467336683417,-442795125.890590
239.81909547738695,-439392695.573795
242.29145728643218,-435601641.159951
244.7638190954774,-431411033.811374
247.23618090452263,-426809832.599738
249.70854271356785,-421786884.506072
252.18090452261308,-416330924.420762
254.6532663316583,-410430575.143552
257.1256281407035,-404074347.383545
259.59798994974875,-397250639.759197
262.07035175879395,-389947738.798324
264.5427135678392,-382153818.938097
267.01507537688445,-373856942.525047
269.48743718592965,-365045059.815060
271.9597989949749,-355706008.973379
274.4321608040201,-345827516.074605
276.90452261306535,-335397195.102695
279.37688442211055,-324402547.950964
281.8492462311558,-312830964.422084
284.321608040201,-300669722.228085
286.79396984924625,-287905986.990351
289.26633165829145,-274526812.239626
291.7386934673367,-260519139.416010
294.2110552763819,-245869797.868961
296.68341708542715,-230565504.857292
299.15577889447235,-214592865.549176
301.6281407035176,-197938373.022139
304.1005025125628,-180588408.263070
306.57286432160805,-162529240.168208
309.04522613065325,-143747025.543155
311.5175879396985,-124227809.102868
313.9899497487437,-103957523.471660
316.46231155778895,-82921989.1832013
318.9346733668342,-61106914.6805210
321.4070351758794,-38497896.3160045
323.87939698492465,-15080418.3513932
326.35175879396985,9160147.04221249
328.8241206030151,34238539.7843578
331.2964824120603,60169611.8852274
333.76884422110555,86968327.4456527
336.24120603015075,114649762.657104
338.713567839196,143229105.801699
341.1859296482412,172721657.252193
343.65829145728645,203142829.471989
346.13065326633165,234508147.015131
348.6030150753769,266833246.526306
351.0753768844221,300133876.740842
353.54773869346735,334425898.484715
356.02010050251255,369725284.674537
358.4924623115578,406048120.317570
360.964824120603,443410602.511714
363.43718592964825,481829040.445513
365.90954773869345,521319855.398155
368.3819095477387,561899580.739471
370.85427135678395,603584861.929933
373.32663316582915,646392456.520657
375.7989949748744,690339234.153403
378.2713567839196,735442176.560572
380.74371859296485,781718377.565210
383.21608040201005,829185043.081003
385.6884422110553,877859491.112284
388.1608040201005,927759151.754025
390.63316582914575,978901567.191843
393.10552763819095,1031304391.70200
395.5778894472362,1084985391.65139
398.0502512562814,1139962445.49757
400.52261306532665,1196253543.78872
402.99497487437185,1253876789.16367
405.4673366834171,1312850396.35190
407.9396984924623,1373192692.17352
410.41206030150755,1434922115.53930
412.88442211055275,1498057217.45064
415.356783919598,1562616660.99958
417.8291457286432,1628619221.36881
420.30150753768845,1696083785.83166
422.7738693467337,1765029353.75212
425.2462311557789,1835475036.58478
427.71859296482415,1907440057.87492
430.19095477386935,1980943753.25844
432.6633165829146,2056005570.46189
435.1356783919598,2132645069.30244
437.60804020100505,2210881921.68795
440.08040201005025,2290735911.61687
442.5527638190955,2372226935.17833
445.0251256281407,2455375000.55209
447.49748743718595,2540200228.00855
449.96984924623115,2626722849.90876
452.4422110552764,2714963210.70441
454.9145728643216,2804941766.93783
457.38693467336685,2896679087.24200
459.85929648241205,2990195852.34053
462.3316582914573,3085512855.04769
464.8040201005025,3182651000.26837
467.27638190954775,3281631304.99814
469.74874371859295,3382474898.32317
472.2211055276382,3485203021.42030
474.6934673366834,3589837027.55700
477.16582914572865,3696398382.09140
479.6381909547739,3804908662.47225
482.1105527638191,3915389558.23896
484.58291457286435,4027862871.02158
487.05527638190955,4142350514.54080
489.5276381909548,4258874514.60795
492.0,4377457009.12500
