omega,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8
0.0,-381.4328420865962,-381.4328420865962,-122.70366725565897,-122.7036672556589,-381.4328420865962,-381.4328420865962,-122.70366725565897,-122.7036672556589
0.24612306153076538,-381.43251311277385,-381.43244157881287,-122.70391183019602,-122.70331285992826,-381.43337536230973,-381.43337536230973,-122.70144436504867,-122.70144436504863
0.49224612306153076,-381.4315422257511,-381.4312100430508,-122.7038758465087,-122.70278574046863,-381.4335646121751,-381.4335646121751,-122.6991605700069,-122.69916057000677
0.7383691845922962,-381.4299324802417,-381.4291444129832,-122.70358958384944,-122.7020556070645,-381.43340983606,-381.4334098360599,-122.69681586738365,-122.69681586738362
0.9844922461230615,-381.42768364934466,-381.4262448959807,-122.70309149063442,-122.70108399218343,-381.4329110326283,-381.4329110326282,-122.69441025361907,-122.69441025361901
1.2306153076538269,-381.4247956860512,-381.4225115116055,-122.70242129332792,-122.69983114208863,-381.4320681993399,-381.4320681993398,-122.69194372474246,-122.69194372474242
1.4767383691845923,-381.42126856591557,-381.4179442489395,-122.7016107197707,-122.69826529351094,-381.4308813324506,-381.4308813324506,-122.68941627637291,-122.6894162763729
1.7228614307153576,-381.4171022682573,-381.4125430853807,-122.7006791225153,-122.69636705031003,-381.42935042701254,-381.42935042701254,-122.68682790371871,-122.68682790371868
1.968984492246123,-381.41229677185515,-381.40630799094856,-122.69963564381877,-122.6941272184795,-381.4274754768734,-381.4274754768733,-122.68417860157763,-122.68417860157749
2.2151075537768885,-381.40685205358693,-381.39923892964435,-122.69848354778527,-122.69154247400157,-381.42525647467625,-381.42525647467613,-122.68146836433627,-122.68146836433606
2.4612306153076537,-381.4007680879032,-381.3913358599742,-122.69722343395365,-122.6886121492548,-381.42269341186017,-381.4226934118601,-122.6786971859706,-122.67869718597056
2.707353676838419,-381.3940448465952,-381.38259873518103,-122.69585490913946,-122.68533656116936,-381.4197862786592,-381.4197862786591,-122.67586506004544,-122.67586506004534
2.9534767383691847,-381.3866822986806,-381.3730275033561,-122.69437730663788,-122.68171629201817,-381.4165350641025,-381.4165350641025,-122.67297197971436,-122.67297197971433
