omega,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8
123.0,-204.8839515545342,-141.931558126518,138.7228358397392,221.8911181281591,-228.85543616568629,-228.85543616568629,133.67051229082927,133.67051229082932
126.15384615384616,-201.2154304385331,-131.09989731294084,144.6331942451399,229.6601611474442,-225.45448553067646,-225.45448553067638,137.49091990074425,137.4909199007443
129.30769230769232,-197.5390233789354,-119.67432522692361,150.64911053811568,238.78502054410632,-222.00552051592928,-222.00552051592928,140.52465889192288,140.52465889192297
132.46153846153845,-193.826284098859,-105.8242025595152,157.01820296041316,252.89845904850205,-218.36480392404465,-218.36480392404457,143.32011232666693,143.32011232666696
135.6153846153846,-190.29794512496542,-153.85766983864158,152.74308873880034,176.03881370352667,-214.29700442387934,-214.2970044238793,146.08250747465675,146.08250747465675
138.76923076923077,-186.21110853913927,-89.50243253396745,170.54149303705006,247.6705761274432,-208.88359095208804,-208.88359095208796,148.98281995055703,148.98281995055703
141.92307692307693,-182.12915555247042,-69.40670126222017,180.42591090683518,262.14559858748066,-287.4893857703122,-287.4893857703077,145.56102193976454,145.56102193976477
145.07692307692307,-177.86567138955124,-42.604975920866096,181.15241700410363,275.20464325110214,-153.4594105854635,-153.4594105854635,155.7704310729639,155.7704310729639
148.23076923076923,-173.38030029269743,48.30555875511482,190.84813006781775,291.24262037305664,-208.11383403901235,-208.11383403901232,157.32471147051956,157.3247114705196
151.3846153846154,-168.04318369763791,99.91827308875625,201.06653347852242,317.954068792859,-201.87253453945027,-201.87253453945024,160.5183673150336,160.5183673150336
154.53846153846155,-157.7970777594259,196.20901430660982,245.8977426778856,440.4502921851018,-197.22296157851073,-197.22296157851068,163.76461451576634,163.7646145157664
157.69230769230768,-207.4042495993339,-166.77847180022064,188.79037117420978,217.24450249075474,-192.92062849185328,-192.92062849185328,167.1113513836888,167.11135138368886
160.84615384615384,-168.5274207260441,-119.38132745629571,226.2860867907862,260.0004100795674,-188.71008268427448,-188.71008268427448,170.57637185922746,170.5763718592275
164.0,-161.7019267332426,-93.12042043769262,235.95059795318667,282.66745692550063,-184.50276935581255,-184.50276935581252,174.17089775364903,174.1708977536491
