Y_{1},Y_{2},Z_{1},Z_{2},Z_{3},Z_{4},\operatorname{re}{\left(Y_{12}\right)},\operatorname{im}{\left(Y_{12}\right)},\operatorname{re}{\left(Z_{5}\right)},\operatorname{im}{\left(Z_{5}\right)},\operatorname{re}{\left(Z_{6}\right)},\operatorname{im}{\left(Z_{6}\right)},\operatorname{re}{\left(Z_{7}\right)},\operatorname{im}{\left(Z_{7}\right)},v,\delta Y_{1},\delta Y_{2},\delta Z_{1},\delta Z_{2},\delta Z_{3},\delta Z_{4},\operatorname{re}{\left(\delta Y_{12}\right)},\operatorname{im}{\left(\delta Y_{12}\right)},\operatorname{re}{\left(\delta Z_{5}\right)},\operatorname{im}{\left(\delta Z_{5}\right)},\operatorname{re}{\left(\delta Z_{6}\right)},\operatorname{im}{\left(\delta Z_{6}\right)},\operatorname{re}{\left(\delta Z_{7}\right)},\operatorname{im}{\left(\delta Z_{7}\right)},\delta T_{1},\delta T_{2},\delta T_{CP},\delta T_{CB},\delta\Delta_{13},\delta\Delta_{33},\delta\Delta_{14},\delta\Delta_{24},\delta\Delta_{67},\delta\Delta_{78},m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8
-272527.545826822,319448.827010946,9.00679310684190,-0.889092211943742,12.2849233503054,6.25619477781639,329240.285994196,329240.285994196,4.13907553207028,3.68463859958272,10.8810987505518,-1.32657419442921,4.81848442812180,8.15402514604341,246,-136671.326925198,-188133.951952962,-5.74189671183958,0,0,0.397231157747819,233880.270379955,46218.1461813022,2.64225113794730,-0.906735486106324,-0.315508311479330,-1.07640233049419,0,0,15428421.8502802,44656686.6352704,1681301.59965419,0,39.7443322078006,11.6840471977044,0,0,-57.4196135060332,-13.9187930746725,231.618202036875,1214.81347118070,881.231121238952,0,0,0,831.363962259903,831.363962259903
-33728.2658065293,859818.832865989,1.11468919976632,-7.62928398589140,-7.37183434400563,-7.27809508185862,71728.6120769300,71728.6120769300,-2.27160704894583,-8.03211308433132,2.37056686089398,-1.07877037085761,-1.18388281431618,-3.10579711867916,246,-1745.32037772906,-13527.1502396311,-0.619636707835111,0,0,-2.37574179540441,-6059.51412823367,5612.01984898299,-0.304953923333876,-2.13804554296595,0.132263165063983,0.300542679028968,0,0,13286323.7699760,-421866.203060417,-3377039.17109732,0,17.1688378754782,-12.3514104012662,0,0,33.8598310750881,-15.3189257445900,59.2382536425182,836.657464021444,443.885329124568,0,0,0,797.973601872309,797.973601872309
-360263.118043162,631528.951107681,11.9063757698183,0.249783243561776,-12.4524710723868,2.92626293282629,-7.03876329887662,-7.03876329887662,-6.44107374718683,-4.65549311528783,-0.000232624869418885,-5.92455030922059,-1.87263726026204,-10.8629062336278,246,-39135.9903672008,-95966.2835625227,-2.04749182169962,0,0,-1.68662050790067,36720.1811926402,-99824.5356933701,0.780345836898334,-0.895721268432193,0.0587950770054466,-1.19880837451907,0,0,14433274.2484213,8698287.10157432,9132555.95289914,0,16.5735708959246,-28.5021828222764,0,0,71.9652788129658,84.3738312886650,271.495835131117,1004.07053696608,570.288080562041,0,0,0,504.719804841658,504.719804841658
-243524.241612456,751642.994409290,8.04825968710610,6.23705941404414,0.0341451097219974,1.80750115961744,97242.6762090102,97242.6762090102,7.12590563838646,-0.280492224474854,3.21378399791824,-0.617646918180659,-7.43685780563644,-1.52269943160229,246,-17156.9858893661,-63130.2915047263,-1.49615574558630,0,0,-3.11642985119374,-120864.175544155,-8569.74720167161,-1.85181569469220,0.0630129257007998,-1.54022530094208,0.110469981261843,0,0,-237225.725447237,-705347.777564716,-1319395.86036431,0,-28.8813761355979,-36.9723018169672,0,0,2.63569823206153,-55.6879471251505,646.266515939858,1042.54551431903,772.801383686042,0,0,0,867.569107990400,867.569107990400
-278385.972054737,586239.923039448,9.20040888541005,-4.78514360746733,2.44962115936751,8.17395821291737,16998.2988643157,16998.2988643157,-12.3277727900289,11.9718546231162,0.561778665619530,11.8207645335777,-10.8916786673647,-2.68553898005535,246,-274446.566970752,-276611.782586835,-6.67054983684793,0,0,-8.81397469905859,-74901.9580311801,-38601.6860100780,2.54754312738004,-4.03458492990620,-2.07157592056443,-4.57912271399846,0,0,40225013.0645707,24845639.5128317,-37108231.7051308,0,108.506689471500,-172.947811211545,0,0,-150.972182992666,105.254281234551,234.285103383094,1343.61999360609,715.502706211737,0,0,0,812.625719553344,812.625719553344
-335012.333077112,-144524.583112028,11.0718597751706,5.75898319880795,8.27549745868811,12.0404143935651,-100469.518079906,-100469.518079906,-0.120234748518721,-3.05259553648610,-3.32042825302090,8.67814736378656,3.56791183438416,0.0811653754706967,246,-205277.496046735,-154337.476169014,-0.676899969929570,0,0,0.642424004371653,-66225.8784131420,168927.603349711,-0.962100402359786,-0.845607663059012,-0.170928716349393,0.999034197861018,0,0,28657315.6452493,-13983599.8460142,-27823835.9997793,0,21.6108687785980,81.9729612342412,0,0,14.7524568984397,-56.9218974566227,171.335797302700,1082.21589148477,640.207802484164,0,0,0,325.385031912897,325.385031912897
-324656.574981822,610872.072554157,10.7296111766086,12.4703011877927,0.447203209942920,-6.65299281604187,-5544.50281711374,-5544.50281711374,-3.88229928466935,0.858776674033175,-0.183240888925697,9.70502452995812,-7.18942773640669,-9.33404313718580,246,-52213.3259916387,-90817.0746365098,-3.79499159654716,0,0,-4.92252969165660,-38553.2597985469,-38226.0737652368,1.62300487340221,-2.29182772140626,-0.300817150272355,-0.564365141158787,0,0,13539232.0524668,2767692.25302917,-18404209.9629529,0,6.23747222378981,2.31126191540829,0,0,-74.4342315718985,-22.3902289311454,52.6307911545153,1088.51274776193,554.867307607418,0,0,0,790.192095177248,790.192095177248
-341576.031660022,17789.2333939655,11.2887841780693,11.8074407437813,8.98283942738692,5.62731882892691,39027.0629391006,39027.0629391006,-3.26902499842302,9.57112634128201,1.28980973425542,-1.61297948706103,9.64517909442823,0.271984086612877,246,-90957.0437720050,-110781.263195217,-0.674697133105721,0,0,-3.70783114446588,32503.9843446572,30813.1504087478,-0.475202953450558,-2.73409913547589,-0.00127633607331223,0.445870975297702,0,0,8167730.91366518,-3538292.52977552,-1046443.51621328,0,16.3395938055560,-37.6691142835870,0,0,57.9644959409787,-58.0147653880502,357.360775470322,883.901740917434,833.000513628559,0,0,0,538.137518472592,538.137518472592
-275181.256004233,-71112.9236554382,9.09449586900103,1.61653210516119,2.41072257842150,10.4412984400710,5621.10694800980,5621.10694800980,-6.07796680859126,-2.09420979071318,0.185772587349124,4.67093649421432,-4.89647559167369,-5.26052903530215,246,-104937.089733970,-67352.6076138014,0.282676050275234,0,0,-0.567662725891548,18242.6677225582,64340.7526111736,0.565559239492051,-0.565106080180024,0.290656993916640,0.414008822815095,0,0,13409336.5664091,4157132.60922040,-13173815.3244130,0,-5.82578622112740,24.4881484897238,0,0,54.1967441342724,79.8238078293220,331.497129603700,900.835941842462,514.289633963190,0,0,0,42.7869153181141,42.7869153181141
-355773.478018941,932097.626959203,11.7579971584024,-3.10116274723062,-0.291299709825593,9.11027126805829,19727.1827672039,19727.1827672039,12.0038894359849,-5.87997066382580,0.651965852574655,-3.05794158027943,-4.94828085819253,-10.3393161247982,246,-127454.649909275,-149021.212360842,-3.32530912029591,0,0,-7.82646212061694,-131642.989776928,-70050.2342620003,-4.62289941601770,1.08228865641307,-2.05632945429593,0.0484309592721284,0,0,11408380.9670687,1500912.28530794,-23380012.0843517,0,-32.3223136814335,-79.1161887499578,0,0,313.488526299865,-29.2075685376824,756.850644879441,1269.19019464907,962.166536482390,0,0,0,960.876412625110,960.876412625110
-98506.2958022166,1138184.76030030,3.25554550208925,-8.93524788579662,-11.9040271109948,-3.09576391700952,63602.6747980140,63602.6747980140,0.203041799794923,1.84182832052251,2.10201185795538,1.69923980690818,-8.85535064224221,10.7612094723412,246,99715.6670385948,-49347.9549190423,-1.98271898487841,0,0,-1.75608203607776,-98409.7864652794,117772.281019326,0.921776586123629,1.08102410397433,-0.682544225034853,1.35389229366110,0,0,13477698.3294479,-1023930.24160860,3019647.28977416,0,19.9723906506850,4.07499100519892,0,0,30.2021637409131,-24.3638363228648,389.291270622298,886.426050720854,792.689044692204,0,0,0,882.038949239671,882.038949239671
-223888.854756460,411703.421260850,7.39932760778835,7.85286865768244,-0.624425454359617,9.52095072212796,-16660.2197542660,-16660.2197542660,8.61683702958504,-2.13341212085331,-0.550605451591844,-0.772840887582168,8.28703734452548,-4.13715579901157,246,-82726.4259168036,-104944.866984568,-0.521667064048978,0,0,-3.52019168055748,144255.501831947,-23110.8591401822,-2.29972835379280,1.88643256535316,1.38387252107216,-0.163813684043790,0,0,7526623.85005672,13843329.7809375,-1123385.27545686,0,-14.6597828091341,8.04054784847258,0,0,46.7004205683086,99.5405857175470,613.275707841545,975.193642019313,694.591204864738,0,0,0,626.745208089250,626.745208089250
-112082.743888421,672345.999107629,3.70423504158971,-2.62450785976317,3.01110129190627,10.3557674161741,-112269.335725448,-112269.335725448,1.25491262373295,8.06736317216091,-3.71040173591935,-4.47493680404184,-8.38437274591965,2.60579946765577,246,-141070.870606640,-116244.819214430,-1.67946453951208,0,0,-2.57341578506068,-83533.3322757344,-32276.0527179164,-0.554098348245240,-1.96791505148165,1.93956387264154,0.674698932284316,0,0,8987560.64590764,-10488799.2821786,20349266.5476502,0,-18.2889002847491,33.8387528827601,0,0,-94.9704353754480,108.358070327294,345.497257282884,1193.51551697637,913.191802786759,0,0,0,873.759636283417,873.759636283417
-108612.800127697,-33273.8522657366,3.58955648515094,-5.23524153477260,8.99393445499724,12.3062445760246,-40557.1873054581,-40557.1873054581,10.8504807507584,9.51524319167722,-1.34037898425071,2.11135847197952,-5.12031503126935,0.396305368910580,246,-141014.176242357,-154941.873565982,-1.83388879300636,0,0,-5.30883176598778,-93724.5695404325,-22525.2994939670,-4.84452281149973,-3.39247685022851,-0.637154023068390,0.0399643475969593,0,0,15870324.4091354,-12583800.8390813,6771928.26555785,0,-7.55115259205117,-26.5879169657406,0,0,-76.7932317322513,-57.1411890027026,214.004543405820,1024.24818732052,587.194376793181,0,0,0,488.737778848300,488.737778848300
-302547.288993657,815143.125932455,9.99891893032114,-6.45743372520519,-11.6493835071796,3.10554868666472,18341.0768407793,18341.0768407793,-4.57487464696032,-10.2876831181197,0.606156283983717,6.71444231925375,-6.89188378969722,-11.2403681796357,246,64186.7302215326,-102133.565774292,-6.09409643782822,0,0,-5.93592488430313,16844.0383743821,-184301.405332999,1.25989479693957,-4.71107761602609,1.08219496907169,-3.10863508371420,0,0,10292244.6451981,6314613.65851668,-395960.519652512,0,51.0323875038626,-71.0485083659000,0,0,-169.882083242215,97.5989778469212,252.597627180916,1060.94317719725,727.279956657071,0,0,0,680.188267887806,680.188267887806
-269449.138867008,333366.189017168,8.90505449358873,0.749283448435698,0.447130253468442,10.1307708181055,-23364.5994811557,-23364.5994811557,4.57596554263716,11.3435702240043,-0.772179241230608,-3.78184834102031,0.0860240193827586,-9.83653322985640,246,-168759.096429874,-139957.266427077,0.0666429926403609,0,0,-2.93323371453546,-73607.0970785587,-71359.2434458257,0.551720577239617,-1.60166486116761,0.260958118844681,0.187617855255883,0,0,19661833.6348521,-19793954.1856590,6507329.39582476,0,31.5201742553840,-26.2671427665175,0,0,86.9981193358547,-106.509121927941,443.444211755583,1038.51093975278,755.390743979561,0,0,0,588.978315582685,588.978315582685
-91594.8673244899,816790.243885476,3.02712893530603,-10.1576122789007,-0.375114524792760,2.41247353745870,-150259.535171884,-150259.535171884,-7.02642842026794,-0.0620551392617941,-4.96594405353571,-2.73546641370376,4.58512034553545,3.51054183552417,246,11303.5009427102,18542.7146807457,-2.74582384579461,0,0,-2.31450915957699,38792.6160246247,103902.610330549,0.102314237056217,-1.19629176905664,-0.0705704799186618,1.62058266757861,0,0,440639.660867117,-3798263.80292910,-3969374.78526263,0,-17.8169325172236,-30.5228825159606,0,0,96.0309126036617,-20.3904983802485,134.091590684239,1061.66737068137,891.596814579721,0,0,0,897.463107093710,897.463107093710
