omega,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8
0.0,-203.14393705575472,-203.09445231351302,373.65226984458934,373.67916902337544,-203.14393705575475,-203.09445231351307,373.6522698445894,373.67916902337544
54.666666666666664,-195.43673899480322,-183.5401783807306,382.88396668450343,389.7278878224688,-196.38957516295466,-196.381317384059,380.0092141253073,380.0134816494292
109.33333333333333,-173.47971369687835,-119.16158188072984,412.84755500640216,436.0345458189017,-175.9257863725632,-175.9225573225028,399.02588539085946,399.0273090251779
164.0,-138.25505811260325,94.55366442472321,467.6323516097673,507.28030184780386,-140.75470379053667,-140.70743842847173,430.699894507469,430.71533817453553
218.66666666666666,-81.72762120442762,168.67724064442174,545.4598702021633,596.6706362393329,-82.54777443778575,-82.37048321793534,474.2484038514034,474.2792290567648
273.3333333333333,84.03605327608884,207.53226332587315,638.3378627200672,697.9913191081135,81.22898446199147,82.79463169838675,527.9703888194431,528.213531246123
328.0,148.42612339730428,233.27663189895475,739.1950195195514,807.1111757507568,142.0930076100729,143.26013338863777,589.5817869056218,589.8641593262638
382.66666666666663,196.54594687643817,254.5707554108333,844.0585953109716,920.8415196026338,184.39338709979899,184.97753393415758,656.8900583076197,657.0542713943912
437.3333333333333,237.64293357077628,273.1651871972877,951.4948782845714,1037.7869626127715,218.41038480568633,219.858696178862,728.0439075858059,728.4797055974248
492.0,272.7688865026348,296.40400714109904,1059.9506240182357,1156.4786227432414,248.871609818611,250.83570515424285,802.0047641686392,802.6164180701228
