omega,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8
0.0,-290.58702574139926,-284.50287727959034,356.1541328207598,361.0328221563441,-290.5870257413993,-284.50287727959034,356.15413282075974,361.03282215634414
4.96969696969697,-291.50034917707745,-284.38092914387266,356.2136456754682,361.64548490190185,-292.2848236021297,-285.7916767647141,357.2679939096031,362.4830410823842
9.93939393939394,-291.68661509943274,-284.07954634066,356.47204904075403,361.9864480230813,-292.7456692124354,-289.4377380781011,360.44250383023893,363.1041464735442
14.90909090909091,-291.7758073828031,-283.5627451603273,356.9098623820996,362.56064909652366,-292.02526842817605,-285.6299536062342,357.8170268664025,362.94257358287496
19.87878787878788,-291.7733499354455,-282.8221896915706,357.5286390482199,363.36887993785206,-291.7688607995007,-285.46069503087114,358.279889484661,363.3259403536601
24.848484848484848,-293.10617407960444,-284.23183518764694,360.1108432066641,365.6449014129161,-291.42549302806,-285.2302927948485,358.8685136382897,363.81191313612635
29.81818181818182,-291.8976374590411,-283.60961439828293,361.7029775113707,365.9343641762064,-290.2034684539027,-286.98603940881355,361.2089766020488,363.7705197855067
34.78787878787879,-291.49731091112073,-282.17774425124816,363.0824360253688,367.1214353351023,-290.4689540015212,-284.5777842628608,360.42318675716166,365.09255195767315
39.75757575757576,-291.03884479951626,-280.45826198418507,364.6307144827503,368.5485921974272,-285.09548943070916,-283.27012951958113,360.69724465410974,362.13253667236523
44.72727272727273,-290.5148662869482,-278.4551259599345,366.3241467660826,370.2435026677319,-285.41275883659245,-282.3907702491662,361.4944801783638,363.8600761064934
49.696969696969695,-289.9167157611221,-276.1730348171364,368.14221258342593,372.23106823392243,-288.31835782735834,-283.07936467705287,363.6981170487861,367.7905233949528
54.666666666666664,-289.0598964481022,-271.712461430633,368.73430387527424,374.3266646034595,-287.71036120273766,-286.25804990920363,368.01227317419045,369.1430806779731
59.63636363636364,-288.4622722950901,-270.78832956416153,372.1275571578544,377.1281393611762,-285.81426433721964,-280.88014597102074,365.8843189829096,369.68563966634105
64.60606060606061,-287.58829526422943,-267.6916148381903,374.31242671473603,380.03044408188697,-282.5312629939229,-279.7438811926271,367.2428715210638,369.3705486192194
69.57575757575758,-286.604543563894,-264.3276327126952,376.64661888525603,383.2213611174201,-280.85897570889574,-278.91388480772497,369.0324858474527,370.5047701561528
74.54545454545455,-285.6571746229796,-259.3945226289361,378.39563012921985,386.6646729598905,-280.2718171633025,-277.94616899770887,370.91733423001625,372.6632360024509
79.51515151515152,-284.51928371275187,-255.6802964343327,381.2343516056729,390.45439512219394,-281.14695622891514,-278.3325576745869,374.0115442945845,376.1106666936291
84.48484848484848,-283.24892282646726,-251.70808931381268,384.26076684472184,394.5166998134607,-279.42255586092944,-276.5712792839334,375.7103585468847,377.8141947022788
89.45454545454545,-281.1025448183199,-247.4071439414442,386.2872448924136,399.4482537990782,-277.63649738243,-275.2080459690469,377.9190360809513,379.69112966335996
94.42424242424242,-280.0041708624883,-243.24919460727318,390.9299224114615,403.40652035411824,-275.70483328048107,-273.71088747592734,380.24802955759264,381.6858251936925
99.39393939393939,-277.60071442151934,-238.11843344174054,393.6970602672018,408.4390088914248,-273.6228224952777,-272.0674521697593,382.6950359675225,383.80234628558657
104.36363636363636,-276.71701094393507,-233.15864794912366,398.59136670802746,413.31091305151665,-271.38925650042427,-270.2604374871884,385.2550766692014,386.04779311955514
109.33333333333333,-274.81408017756627,-227.64556573776758,402.74172646351593,418.6643201785131,-269.0168542865715,-268.25699004460665,387.9135363749462,388.4393992444213
114.3030303030303,-270.72737756510713,-221.91115015095002,406.47723674505596,423.6771779688279,-266.56653557837365,-265.9741032514029,390.6236471156487,391.02727267519236
119.27272727272728,-267.93137225592426,-215.8065438498171,411.1826665800111,429.2296315308895,-264.099546029296,-263.3259275440107,393.3414773383159,393.859802329021
124.24242424242425,-264.84913748215484,-209.2811551814045,416.10966518816673,435.02592211367386,-263.014474217168,-262.4790696087884,397.5128752016194,397.8666078173644
129.21212121212122,-261.4570178577515,-202.25953242803692,421.2570753558218,441.0762539358463,-257.56620588719574,-257.0946967843809,398.9819922213371,399.28598449905525
134.1818181818182,-257.724722891078,-194.6027811188639,426.62427014034773,447.4014227963112,-258.2284047879596,-254.43205970486954,402.53351977306846,404.94378693167687
139.15151515151516,-253.59423198872526,-185.9037302197749,432.21462423519074,454.05889991174826,-250.687311720562,-249.96499007219927,405.29821406359576,405.7440995492451
144.12121212121212,-249.57170117155212,-183.4645600473062,437.97921487598063,460.73761989305603,-252.72219627614678,-247.18649771046614,409.37056097798495,412.73671999920606
149.0909090909091,-244.91575882371674,-174.70818434760548,443.9507388996388,467.50812431844327,-243.92689526731442,-242.56286109240463,412.38973219828836,413.19351383582296
154.06060606060606,-239.8679989737753,-165.62100427147834,450.12889790796754,474.6019785217277,-241.33128701773168,-237.6411176802483,415.63448821281764,417.7553315916482
159.03030303030303,-234.38181475455252,-155.78489161731366,456.51142714894837,482.0670590573884,-236.95240919571907,-232.92103799445866,419.42632491004923,421.67840389423503
164.0,-228.39880338640793,-144.9343185510445,463.09992577427414,490.0294776723926,-232.00866165226176,-227.84332990087833,423.5426064369769,425.79781066696574
168.96969696969697,-221.78382077996278,-132.6429265322278,469.91039123952424,498.8559944636717,-236.48476631534814,-222.01357044711358,428.0489491616077,435.7303318738619
173.93939393939394,-214.02108527531522,-117.73052576081807,477.02978674051633,510.1100926394336,-217.3916283136436,-215.49369092515468,434.00335385307295,434.9488480132198
178.9090909090909,-195.92074109244146,-79.70904193703868,488.2362615366876,548.1677661929832,-211.78958707260833,-203.05219635969698,449.4901518781818,453.5041690892819
183.87878787878788,-213.01286522771989,-97.62944819058384,491.4694740120275,506.35318174294554,-230.6795955220644,-208.12088520791764,423.87067276118756,435.3907671936988
188.84848484848484,-201.82294521883637,-71.33502481336761,499.73077308615603,521.3907108014054,-233.34140326382715,-199.72418525938153,436.71991724656567,453.08139050225327
193.8181818181818,-192.88029717898746,-34.391999267991196,507.63907421932004,531.7503514931925,-226.33248030951975,-190.98755212134841,442.6195434219484,458.9795276445437
198.78787878787878,-174.68300200321724,43.05681649382031,510.85619263763516,543.5165369217801,-196.1576499067028,-184.0271221844566,448.50091109661696,453.6131712945768
203.75757575757575,-163.365891427093,74.8255384746349,518.8673055872337,552.7296216041344,-218.09122342927517,-173.07582144551202,452.7759648907201,471.8205338373499
208.72727272727272,-150.9163550857484,96.95528054051266,526.9582937592802,561.9677450412546,-212.35711718860517,-164.5082372293512,458.23757461928403,477.50838725336587
213.6969696969697,-137.00490511501562,115.23544174186911,535.1449365130836,571.2963822844321,-168.56772835760484,-156.4812832304926,464.1720681333199,468.38488006909984
218.66666666666666,-148.68645881874642,123.52763899381007,542.2100408032612,589.9335340979899,-157.86348145474423,-145.54739716781813,469.4969671745153,473.459856947507
223.63636363636363,-102.36482586441576,146.03151479882808,551.8155205536441,590.3437416820426,-198.11654219647642,-194.35057682541347,495.5188530363362,497.00799922532775
228.6060606060606,-78.69329526795055,159.75095454974334,560.2960582543681,600.0965620576959,-132.95632552955612,-119.36812890746369,480.4258738414858,483.9810477237797
233.57575757575756,-102.12024868681728,163.97708820138376,568.0691058177464,620.1797635408033,-180.41419481799738,-97.38033521382557,484.90004122010293,508.1283321964313
238.54545454545456,-79.3725885696083,176.12325929099376,576.9596363661649,630.5359083630705,-100.79431736382266,-82.0790033851562,491.71973625596956,495.18767214034995
243.51515151515153,85.38068906100101,198.12233298429874,586.2962400019566,630.5328823789224,-79.48421145908853,-51.82654825245618,497.5259445953734,501.162462992818
248.4848484848485,105.99865126598661,202.99920538853704,594.9968196563487,640.0897116616798,-51.758868745551005,37.93631573315893,502.98488736748527,507.06206865166587
253.45454545454547,126.25318730258883,213.09374803182067,603.8080100189384,650.2577670153709,-157.31123654535875,-119.07366529733187,527.1772015023838,537.1071486770343
258.42424242424244,143.83924509961946,222.8216474197297,612.7018822662084,660.5416913121197,-149.86965067855286,23.692214164352528,522.3495284346812,543.9404958839293
263.3939393939394,159.72339794712522,232.3674202220943,621.6707975255684,670.9565175854789,85.31498339271316,121.64968106083491,518.274626883803,525.4793881613712
268.3636363636364,174.38521072761253,241.76980624458406,630.7084538134563,681.5005015540324,107.47738397762565,137.77863309843661,524.1455386220446,531.1874521571391
273.3333333333333,188.11530340259543,251.04914501048316,639.8095335268525,692.1698434100823,-116.51784035156066,163.53293937899986,526.8508881276982,563.8184882593614
278.3030303030303,201.10679203933293,260.22111667154104,648.9693473581932,702.9602435264327,137.59208640677434,169.4014648199344,535.2716886322285,544.3170534647683
283.27272727272725,213.49575449072805,269.2997854854837,658.1836368341067,713.8672431497556,150.54635684478882,183.79412125812823,540.9450768129684,551.1239874819435
288.24242424242425,200.30143978673513,259.87004508790255,669.3151306917084,737.264511027589,164.81302692690608,196.87191540622598,546.9206052495084,557.4202774185701
293.2121212121212,236.8412250540139,287.2306792039495,676.7600639353344,736.0130254412225,75.25555783629434,209.99944776752037,552.7641887689158,586.5020182938582
298.1818181818182,224.94647986092951,275.9083769343539,688.8185798749602,759.657085008426,-43.167164543726045,230.5919002026695,555.4552059629829,602.9647704179757
303.1515151515151,258.69861830446007,304.9475599548212,695.5095230066909,758.5714334189744,184.84393911770408,224.52234151861884,568.8895542639855,582.990844664931
308.1212121212121,269.1788361887879,313.7588943194972,704.9405238086634,769.9944732418746,204.07162940367743,247.77892335919535,570.3340869087015,587.3926588097203
