omega,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8
0.0,-577.6849123095043,-577.6849123095043,284.56464342827036,284.5646434282704,-577.6849123095043,-577.6849123095043,284.56464342827036,284.56464342827036
16.96551724137931,-576.5130674126641,-573.8515415713608,284.08025693481045,285.3036222136226,-576.5092307483613,-576.5092307483612,283.88397041348844,283.88397041348844
33.93103448275862,-572.9147566696807,-562.1972377906858,282.6498876639515,287.5300215938283,-572.9283341224581,-572.928334122458,281.75597482962934,281.75597482962945
50.89655172413793,-566.8382429672552,-542.2219666957915,280.2954720310574,291.28490636040846,-566.8929003721361,-566.892900372136,278.15235438433405,278.1523543843341
67.86206896551724,-558.1914857913326,-512.9702142393679,277.0549804457028,296.6470548903221,-558.3162953671782,-558.316295367178,273.0235991595872,273.02359915958726
84.82758620689654,-546.8332324523567,-472.7772936755254,272.9804069393035,303.7529855832723,-547.0672785867303,-547.0672785867303,266.2958055618455,266.29580556184555
101.79310344827586,-532.5582678390033,-418.74303596903195,268.0826697033277,312.81803595830326,-532.9586459491015,-532.9586459491014,257.8670855857281,257.8670855857281
118.75862068965517,-514.7233794411708,-320.35386429453297,274.5956542246543,334.36620610713555,-515.736301171094,-515.7363011710939,247.6304362672237,247.6304362672237
135.72413793103448,-494.03124868891865,-227.70584725119448,258.0164604552189,340.55390529726253,-495.1555847991311,-495.155584799131,234.42367655132514,234.42367655132531
152.68965517241378,-472.17622225155645,130.6268120401246,250.79430610007236,361.363138625419,-474.22236557613,-474.22236557612996,218.54267491512792,218.54267491512792
169.65517241379308,-298.11328920902264,290.768109283209,323.26350340523396,418.13523872576394,-266.2925840494116,-266.29258404941,289.2409140315176,289.2409140315188
186.6206896551724,-377.4681038693311,242.08539596765806,345.62196918600586,489.04057838313724,-378.18409105758985,-378.1840910575898,161.42532629154763,161.4253262915477
203.58620689655172,-326.8253309324504,255.65929945472314,372.45596101752295,586.2539525751653,-332.06357555758905,-332.06357555758893,176.60091909949165,176.60091909949173
220.55172413793102,-261.4374928142766,258.7137632938616,395.12641330222493,680.5755672062361,-270.3336325322533,-270.3336325322533,146.89509785300078,146.89509785300083
237.51724137931035,-157.9588659976467,246.06049391445697,416.67168156912396,768.4620274729551,-182.81550551783496,-182.81550551783494,16.52207329826129,16.522073298262473
254.48275862068965,181.55393769882323,301.2178756108422,431.4986484132244,832.544672707391,-126.24087319512792,-126.24087319512782,122.23723533238137,122.2372353323814
271.44827586206895,244.29396007868039,305.1320350747758,453.0815623786774,928.869802870253,-211.98141125831228,-211.98141125831216,247.7685972198642,247.7685972198642
288.41379310344826,275.6837350263096,373.3589029362851,475.5038678680425,1014.1454857605693,-754.6138978307453,-754.6138978307449,308.77068258170556,308.77068258170584
305.37931034482756,287.49166673065173,442.5947574801418,498.82017374158687,1096.7907237974775,116.64732296318016,116.64732296318026,453.34376806027325,453.34376806027325
322.34482758620686,295.1275156021884,502.28983581464405,527.4698627758029,1177.9053515702042,-142.53589826343557,-142.53589826343543,508.5801254923525,508.5801254923526
339.31034482758616,310.7333662122678,531.9243887093027,605.9590260288869,1261.1800895817632,-204.61596483681146,-204.6159648368114,569.4128834250122,569.4128834250124
356.2758620689655,284.5284314862747,572.6421260064111,651.3393300708691,1340.735773220487,-247.41589014797708,-247.41589014797697,628.8059796308826,628.8059796308828
373.2413793103448,360.3256380893016,599.7565948834936,755.0698697864767,1417.7703950492817,-286.017877232392,-286.01787723239187,686.0721569451526,686.0721569451526
390.2068965517241,349.76991910147194,624.0233138920545,787.7373901171436,1495.3023007613178,-319.4445596631598,-319.44455966315945,741.9970285197053,741.9970285197053
407.17241379310343,352.0355984200439,649.8496655556487,836.877698906313,1572.8545827341661,-349.07956576962044,-349.0795657696204,796.9078131732074,796.9078131732075
424.13793103448273,355.9103795574686,676.3870005156131,887.7788489263872,1650.1883492246873,-376.9388060924785,-376.9388060924785,850.8409486205591,850.8409486205593
441.10344827586204,360.44319817386906,703.4480510972002,939.0145663071985,1727.2915509230331,-403.63712623584684,-403.63712623584655,903.9434366263155,903.9434366263155
458.06896551724134,365.3586851461236,730.9404964993596,990.1784594000549,1804.1838217641616,-429.49442844975795,-429.49442844975795,956.3469640125035,956.3469640125035
475.0344827586207,370.5456537576277,758.8064702768517,1041.1338780530855,1880.8905841316816,-454.7077976546773,-454.70779765467665,1008.1607952797045,1008.1607952797049
492.0,375.94977690704616,787.0045690614411,1091.8392422493716,1957.4366073388035,-479.41025457228994,-479.4102545722896,1059.4744826835122,1059.4744826835122
