omega,V
0.0,0
0.24612306153076538,-4874.20479953937
0.49224612306153076,-19496.7899236468
0.7383691845922962,-43867.6675487906
0.9844922461230615,-77986.6913024174
1.2306153076538269,-121853.656262953
1.4767383691845923,-175468.298959801
1.7228614307153576,-238830.297373346
1.968984492246123,-311939.270934949
2.2151075537768885,-394794.780526951
2.4612306153076537,-487396.328482670
2.707353676838419,-589743.358586406
2.9534767383691847,-701835.256073434
3.19959979989995,-823671.347630011
3.445722861430715,-955250.901393371
3.691845922961481,-1096573.12695173
3.937968984492246,-1247637.17534427
4.184092046023012,-1408442.13906117
4.430215107553777,-1578987.05204358
4.676338169084542,-1759270.88968363
4.9224612306153075,-1949292.56882441
5.168584292146073,-2149050.94776003
5.414707353676838,-2358544.82623554
5.660830415207604,-2577772.94544698
5.906953476738369,-2806733.98804139
6.153076538269135,-3045426.57811674
6.3991995997999,-3293849.28122204
6.645322661330665,-3552000.60435723
6.89144572286143,-3819878.99597326
7.137568784392196,-4097482.84597203
7.383691845922962,-4384810.48570644
7.629814907453727,-4681860.18798037
7.875937968984492,-4988630.16704866
8.122061030515258,-5305118.57861716
8.368184092046024,-5631323.51984265
8.614307153576789,-5967243.02933295
8.860430215107554,-6312875.08714680
9.10655327663832,-6668217.61479396
9.352676338169085,-7033268.47523515
9.59879939969985,-7408025.47288208
9.844922461230615,-7792486.35359742
10.09104552276138,-8186648.80469484
10.337168584292145,-8590510.45493897
10.58329164582291,-9004068.87454544
10.829414707353676,-9427321.57518084
11.075537768884443,-9860266.00996275
11.321660830415208,-10302899.5734597
11.567783891945973,-10755219.6016913
11.813906953476739,-11217223.3721279
12.060030015007504,-11688908.1036912
12.30615307653827,-12170270.9567535
12.552276138069034,-12661309.0331383
12.7983991995998,-13162019.3761201
13.044522261130565,-13672398.9704242
13.29064532266133,-14192444.7422271
13.536768384192095,-14722153.5591560
13.78289144572286,-15261522.2302894
14.029014507253626,-15810547.5061565
14.275137568784393,-16369226.0787377
14.521260630315158,-16937554.5814642
14.767383691845923,-17515529.5892183
15.013506753376689,-18103147.6183332
15.259629814907454,-18700405.1265932
15.505752876438219,-19307298.5132334
15.751875937968984,-19923824.1189400
15.99799899949975,-20549978.2258501
16.244122061030517,-21185757.0575519
16.49024512256128,-21831156.7790846
16.736368184092047,-22486173.4969381
16.98249124562281,-23150803.2590535
17.228614307153578,-23825042.0548229
17.47473736868434,-24508885.8150893
17.720860430215108,-25202330.4121468
17.96698349174587,-25905371.6597402
18.21310655327664,-26618005.3130656
18.459229614807402,-27340227.0687699
18.70535267633817,-28072032.5649509
18.951475737868936,-28813417.3811577
19.1975987993997,-29564377.0383901
19.443721860930467,-30324906.9990988
19.68984492246123,-31095002.6671859
19.935967983991997,-31874659.3880040
20.18209104552276,-32663872.4483569
20.428214107053527,-33462637.0764995
20.67433716858429,-34270948.4421375
20.920460230115058,-35088801.6564276
21.16658329164582,-35916191.7719774
21.41270635317659,-36753113.7828458
21.658829414707352,-37599562.6245423
21.90495247623812,-38455533.1740275
22.151075537768886,-39321020.2497132
22.39719859929965,-40196018.6114619
22.643321660830416,-41080522.9605872
22.88944472236118,-41974527.9398536
23.135567783891947,-42878028.1334767
23.38169084542271,-43791018.0671229
23.627813906953477,-44713492.2079099
23.87393696848424,-45645444.9644059
24.120060030015008,-46586870.6866306
24.36618309154577,-47537763.6660543
24.61230615307654,-48498118.1355985
24.858429214607302,-49467928.2696354
25.10455227613807,-50447188.1839885
25.350675337668836,-51435891.9359322
25.5967983991996,-52434033.5241916
25.842921460730366,-53441606.8889433
26.08904452226113,-54458605.9118143
26.335167583791897,-55485024.4158830
26.58129064532266,-56520856.1656787
26.827413706853427,-57566094.8671814
27.07353676838419,-58620734.1678225
27.319659829914958,-59684767.6564841
27.56578289144572,-60758188.8634994
27.81190595297649,-61840991.2606524
28.05802901450725,-62933168.2611783
28.30415207603802,-64034713.2197632
28.550275137568786,-65145619.4325441
28.79639819909955,-66265880.1371092
29.042521260630316,-67395488.5124973
29.28864432216108,-68534437.6791986
29.534767383691847,-69682720.6991539
29.78089044522261,-70840330.5757553
30.027013506753377,-72007260.2538457
30.27313656828414,-73183502.6197190
30.519259629814908,-74369050.5011202
30.76538269134567,-75563896.6672450
31.011505752876438,-76768033.8287403
31.2576288144072,-77981454.6377040
31.50375187593797,-79204151.6876850
31.749874937468736,-80436117.5136829
31.9959979989995,-81677344.5921485
32.242121060530266,-82927825.3409836
32.48824412206103,-84187552.1195409
32.73436718359179,-85456517.2286242
32.98049024512256,-86734712.9104881
33.22661330665333,-88022131.3488382
33.472736368184094,-89318764.6688312
33.718859429714854,-90624604.9370748
33.96498249124562,-91939644.1616275
34.21110555277639,-93263874.2919989
34.457228614307155,-94597287.2191496
34.70335167583792,-95939874.7754911
34.94947473736868,-97291628.7348859
35.19559779889945,-98652540.8126475
35.441720860430216,-100022602.665540
35.68784392196098,-101401805.891780
35.93396698349174,-102790142.031033
36.18009004502251,-104187602.564416
36.42621310655328,-105594178.914498
36.672336168084044,-107009862.445299
36.918459229614804,-108434644.462288
37.16458229114557,-109868516.212387
37.41070535267634,-111311468.883969
37.656828414207105,-112763493.606856
37.90295147573787,-114224581.452323
38.14907453726863,-115694723.433095
38.3951975987994,-117173910.503348
38.641320660330166,-118662133.558710
